,time,Lat_Prim,Long_Prim,DeltaLat_Dysnomia,DeltaLong_Dysnomia,DeltaLat_Dysnomia_err,DeltaLong_Dysnomia_err
0,2453623.460349914,-14.632084005918633,20.768639472098275,-1.5647952073253375,-5.4515996813535805,0.007865017415331226,0.008089459085787691
1,2453707.380416032,-14.555948943582209,20.0126623975322,-1.198300289205817,-3.896567676274407,0.006266101180717886,0.006268672972708364
2,2453967.560622266,-14.414572474483162,21.13360383615134,-0.08020633328036311,0.029018381045776538,0.010644374584182109,0.010337295537316087
3,2453968.5306230383,-14.416025889250054,21.128100533711237,-0.1234608236467638,0.1131199368290316,0.037765519065976826,0.04104551298838133
4,2453977.5206302004,-14.428218506182358,21.070842072743822,0.06252865576955065,-0.08428099412776678,0.02020142811309853,0.02163688366269096
5,2453977.810630432,-14.42856627063208,21.068820272152983,0.021176536967728695,-0.07570017163875407,0.0010017668707626222,0.0010117671058983973
6,2453978.4406309337,-14.429325203938449,21.064378353953465,0.0025459558613248577,-0.12962082813745576,0.010135030905060849,0.01050070522480062
7,2454325.0259892275,-14.209822842665476,21.3890663234063,1.6313205130763198,-19.96838478780532,0.0029536580597636663,0.004266960124087393
8,2457051.111199258,-12.669033987405713,21.895633591081943,15.971887876813208,-170.77321746632865,0.002247832799724929,0.0022259979693281954
9,2457051.181019334,-12.668846309653215,21.8958836984247,15.972136022266248,-170.7683565202104,0.0021767240391122023,0.002246868551571702
10,2457054.36134279,-12.660292596983865,21.90789394824961,15.983791855383348,-170.84259504796165,0.0021741762147251477,0.0024101860380105053
11,2457054.4320828672,-12.66010591855106,21.908186771029868,15.981817104278795,-170.84007493783326,0.002267572440101983,0.0022826463275239977
12,2458119.224710626,-12.163004746286154,22.513577225788197,22.204851962916198,-230.2288317185579,0.0023838456052066807,0.0034241448830865983
13,2458119.4233008483,-12.162463990128671,22.51324480176448,22.20524176469264,-230.23268967270818,0.0027787724309076204,0.004370100922688194
14,2458121.2022928433,-12.157679386784,22.510540016509854,22.22194892268322,-230.26471609030023,0.003849613859334673,0.005852671014800944
15,2458127.1719695358,-12.14149939539454,22.505709267477346,22.27077438589833,-230.36547179774198,0.002818207920366089,0.0034970323057175157
16,2458128.3640208715,-12.13824714131588,22.50553074719089,22.28004540079442,-230.38473157899654,0.002337198790843125,0.002184394183912518
17,2458132.4033354004,-12.127247991466813,22.506913218528013,22.309450395026442,-230.44270634674595,0.002284294594580853,0.002287147835296925
18,2458152.136737532,-12.074677829402251,22.55683254194344,22.40320700821285,-230.64655430453308,0.0023011211979130568,0.002294756752343657
