,mean,stddev
mass_1,1.6e22,0.01e22
mass_2,1.89e20,1.0e+22
sma_2,12420,1000
ecc_2,0.008,0.001
aop_2,130.1,30
inc_2,62.00,10
lan_2,138.9,30
mea_2,5.276,30
mass_3,1.6e+19,1.0e+19
sma_3,37282,1000
ecc_3,0.004,0.001
aop_3,299.0,30
inc_3,62.650,10
lan_3,137.,30
mea_3,39.0,30
j2r2_1,20000.0,10000.0
c22r2_1,4000.0,1000.0
spaop_1,18,30
spinc_1,62.5,5
splan_1,132.0,30
sprate_1,5e-6,5.0e-5
