,mean,stddev
mass_1,6.88e+18,2e+16
mass_2,0.0,0.0
sma_2,11374.0,8.0
ecc_2,0.4732,0.0006
aop_2,49.33003181874622,0.1
inc_2,66.2962882178959,0.05
lan_2,52.33173905631826,0.08
mea_2,165.5,0.1
j2r2_1,89780.0,8978.0
c22r2_1,8978.0,897.8000000000001
j2r2_2,405.0,40.5
c22r2_2,40.5,4.05
spaop_1,49.33003181874622,0.1
spinc_1,111.2962882178959,0.05
splan_1,52.33173905631826,0.08
sprate_1,5.586212913209625e-07,5.586212913209625e-08
spaop_2,180.0,20.0
spinc_2,111.2962882178959,0.05
splan_2,52.33173905631826,0.08
sprate_2,5.586212913209625e-07,5.586212913209625e-08
lat_offset,-0.00025981867012586727,0.005
long_offset,0.00043851944289899884,0.005
