,mean,stddev
epoch,2454300.0,
period_1,125.58,0.05
sma_2,9310.0,50.0
ecc_2,0.556,0.005
inc_2,41.1,0.2
long_epoch_2,152.0,0.3
lan_2,341.2,0.3
pomega_2,246.3,0.9
mass_tot,4.0599999999999995e+18,7.000000000000001e+16
diam_1,171.0,
diam_2,140.0,
