,mean,stddev
mass_1,4.58e+17,6999999999999999.0
mass_2,0.0,0.0
sma_2,8220.0,40.0
ecc_2,0.546,0.008
aop_2,201.07222214493945,0.7
inc_2,72.89351403769852,0.5
lan_2,16.78991653400911,0.3
mea_2,35.69999999999999,0.7
j2r2_1,8405.0,840.5
c22r2_1,840.5,84.05000000000001
j2r2_2,335.0,33.5
c22r2_2,33.5,3.35
spaop_1,201.07222214493945,0.7
spinc_1,117.89351403769852,0.5
splan_1,16.78991653400911,0.3
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,72.89351403769852,0.5
splan_2,16.78991653400911,0.3
sprate_2,0.0002493,2.493e-05
lat_offset,-0.00010284882411962239,0.005
long_offset,-8.724500787485825e-05,0.005
