,mean,stddev
mass_1,1.616e22,0.001e22
mass_2,1.06e19,1.0e+18
sma_2,12354.129,10
ecc_2,0.261,0.001
aop_2,111.385,5
inc_2,33.547,1
lan_2,138.985,0.5
mea_2,214.053,10
mass_3,2.7e20,1.0e+18
sma_3,37364.565,100
ecc_3,0.006,0.001
aop_3,299.353,10
inc_3,61.969,0.18
lan_3,139.514,0.215
mea_3,66.001,10
f_val_1,2,2
