,mean,stddev
mass_1,4.006e+21,4e+18
mass_2,1.79e+18,1.48e+18
sma_2,25657,91
ecc_2,0.249,0.015
aop_2,178.9,2.3
inc_2,113.013,0.5
lan_2,205.016,0.5
mea_2,178.5,1.7
mass_3,1.79e+19,1.0e+19
sma_3,49880,198
ecc_3,0.05,0.0078
aop_3,154.1,5.8
inc_3,126.356,0.064
lan_3,206.766,0.033
mea_3,152.8,6.1
j2r2_1,100000.0,50000.0
c22r2_1,22000.0,10000.0
spaop_1,180,180
spinc_1,126.356,1.0
splan_1,206.766,1.0
sprate_1,4.45767e-4,1e-9
