,large_low_synch_low_synch_offset,large_low_synch_low_synch_,large_low_synch_low_fast_offset,large_low_synch_low_fast_,large_low_synch_high_synch_offset,large_low_synch_high_synch_,large_low_synch_high_fast_offset,large_low_synch_high_fast_,large_low_fast_low_synch_offset,large_low_fast_low_synch_,large_low_fast_low_fast_offset,large_low_fast_low_fast_,large_low_fast_high_synch_offset,large_low_fast_high_synch_,large_low_fast_high_fast_offset,large_low_fast_high_fast_,large_high_synch_low_synch_offset,large_high_synch_low_synch_,large_high_synch_low_fast_offset,large_high_synch_low_fast_,large_high_synch_high_synch_offset,large_high_synch_high_synch_,large_high_synch_high_fast_offset,large_high_synch_high_fast_,large_high_fast_low_synch_offset,large_high_fast_low_synch_,large_high_fast_low_fast_offset,large_high_fast_low_fast_,large_high_fast_high_synch_offset,large_high_fast_high_synch_,large_high_fast_high_fast_offset,large_high_fast_high_fast_,shape_low_synch_low_synch_offset,shape_low_synch_low_synch_,shape_low_synch_low_fast_offset,shape_low_synch_low_fast_,shape_low_synch_high_synch_offset,shape_low_synch_high_synch_,shape_low_synch_high_fast_offset,shape_low_synch_high_fast_,shape_low_fast_low_synch_offset,shape_low_fast_low_synch_,shape_low_fast_low_fast_offset,shape_low_fast_low_fast_,shape_low_fast_high_synch_offset,shape_low_fast_high_synch_,shape_low_fast_high_fast_offset,shape_low_fast_high_fast_,shape_high_synch_low_synch_offset,shape_high_synch_low_synch_,shape_high_synch_low_fast_offset,shape_high_synch_low_fast_,shape_high_synch_high_synch_offset,shape_high_synch_high_synch_,shape_high_synch_high_fast_offset,shape_high_synch_high_fast_,shape_high_fast_low_synch_offset,shape_high_fast_low_synch_,shape_high_fast_low_fast_offset,shape_high_fast_low_fast_,shape_high_fast_high_synch_offset,shape_high_fast_high_synch_,shape_high_fast_high_fast_offset,shape_high_fast_high_fast_
large_high_fast_high_fast_,31.509430759969185,30.12092932967165,28.56920070697192,24.406397642394417,36.472228911138274,29.194822510591187,34.418000835631766,33.718757974173165,19.913436965643495,23.22600212728982,19.123821683624794,15.263849509478547,14.783922525519895,18.46723948341028,19.386597303810543,19.81493147764978,14.826642594431785,14.732299873011996,15.240496193636506,14.737274191440003,11.884683906809643,10.030381758532629,10.890830180462096,17.566647782012232,10.122529451922595,16.732067964294416,13.480773840012947,12.643784474492108,14.41228266107311,13.99818992199755,17.351342366387822,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_synch_offset,27.70548684455856,28.30721299120919,25.07991077587434,20.70509788328562,29.363728150291024,28.285744706045186,29.166732366752537,28.012410633827955,22.84866117973995,27.47158566094493,17.074249394286394,10.822316326700243,19.010156554778217,23.143758419982348,18.36114799375545,22.42896843316007,15.965734968997117,15.77014186943919,14.805540383824184,11.846797817543539,17.518959316094328,11.299869207605532,15.721175523113585,16.597895315964045,14.381588970147117,15.921596774482481,16.0080324491174,15.645376458058344,20.200228976868566,12.164512991893734,16.542615777740174,14.199795525534682,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_synch_,27.02002865242337,24.920765450246673,27.202697002832412,24.459113165551827,29.898288364414018,25.033872291838396,28.281820729428127,25.53535228411201,17.868745748357206,22.680919961881482,15.144871378714326,14.471702886392125,16.641557270299813,19.41663931300629,23.329156059376988,22.174060147945237,18.942218870000005,15.532344964836351,13.941134676175762,17.59601501892889,19.034609538745137,9.656224256160726,11.110240561789393,14.007270040309567,16.68170341344783,14.07968871284022,15.375164893119965,17.61295778185357,19.56405124407514,12.06516961326538,13.688768475762203,13.952353778507563,13.114342084583136,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_fast_offset,23.92806360316427,23.035736935095205,26.515385406348173,25.382837196278807,33.04927180915072,24.734797537373957,28.22660596265214,27.838938772672023,23.256511527888172,24.962497908229395,16.380777980852937,11.641481803650814,20.356832949147748,20.869530107410558,19.05222150268829,20.894757058802945,18.108546204912873,16.173136213253194,11.630249185245752,12.231593135899509,15.48380688684236,12.41225999105629,15.173374248770479,15.50506708986752,11.16185154759188,13.605839822822526,16.731487498575376,15.74450850072639,16.916594860193502,14.93142616280411,15.507210570022442,12.720403865771006,11.366918304679444,12.98318742946974,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_fast_,31.735607656563456,30.881023619109367,23.719626443316443,22.46557759949497,34.414400659392825,30.600253787667118,34.993466076966094,28.71530662517494,21.46320547512992,22.584462057184915,20.608348142237325,14.368752938884096,19.56513213755599,21.60048875266091,17.48038459533258,21.367759575418717,15.28710125450467,14.220912881239702,16.704630310887946,13.891874741833263,18.016019759602386,12.583091577017944,13.72054057818146,14.438213636480608,12.263688300307916,13.463912941977467,15.034090247739703,13.72630286622406,17.897351802185145,12.006625847796682,17.001780932022136,15.25757866351119,11.919347664597195,16.1593833003067,12.606193940184129,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_synch_offset,31.47370925979875,27.22988239160237,23.925252659044943,21.871442190436426,34.107933654803524,28.119685596816886,34.441739840892986,28.86847025259677,19.477120821408135,22.855802616862384,19.472369748906523,13.025427823561143,18.5244945242105,18.528072186727037,16.966867935540105,19.3643505460416,12.98532709795211,10.227704037600738,16.72552036289118,14.610538435251694,10.952206754444893,11.580657003979521,9.110620352571635,11.34505289490472,12.898351424835617,15.397195724735745,15.127104765333618,11.095320686372254,12.576594622661723,11.680031905784325,15.37683228194355,13.713198966901503,14.434163210631958,14.069817108911842,13.411407596634097,11.31083633050601,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_synch_,30.873384713779252,27.489042829106417,28.53669148136102,25.56298052574184,33.54450345323628,30.432553159418603,31.982946965973046,30.41440090098548,19.68590626721108,24.21763856698068,20.034874839111186,16.308531522738324,18.72143716340544,22.2620426336223,25.584330105993516,22.6990020636482,17.97641818472648,17.52127897884015,11.609552596692717,15.758157887690897,17.370633471917955,13.810187514926739,16.958736757589925,16.13933883268028,14.352709126931131,13.440004015725517,12.03600284969811,17.2583303617818,20.134375762550256,14.021491541578879,14.94236089689933,16.252132108661517,16.975078689905015,13.486824245860515,15.456199017035832,16.727786675507055,15.715905139698478,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_fast_offset,30.196602311568878,27.546432641681776,27.933830561087678,30.19673619863954,37.45434369473885,27.453937586658785,30.834436314458088,27.835580558435023,26.401106800174162,30.280466325850025,18.01069485790341,16.047513743785167,21.8884013248886,23.969448302578762,20.278259853819662,22.194004309830042,13.379836542124915,17.95664489401913,13.172187878673427,16.81999122628159,15.302466359992588,16.50856604111269,15.432931911945163,14.15792562764726,14.367507987028198,15.053241566505292,17.76335488901838,13.98146034931529,15.374848706346583,18.105040308439207,12.290246290063653,15.423204467619696,16.21146334898855,17.150147054385414,11.411708696335163,15.109052141540463,14.494274795809236,18.359055255914697,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_fast_,27.635242136143972,23.831023123152406,25.388886221747374,25.441936590143968,32.04675719774233,24.365940655389053,27.424514963575895,26.691320459530935,21.865925945054627,23.918667687781333,16.2885993051484,13.398626844772306,18.478794798538246,19.738297010669946,22.108339176248485,21.796048521699735,14.187600422816272,14.282790787188361,9.377689845466294,13.06783539061674,15.560463499447653,10.657443783904887,13.668799456183631,10.753882825184093,11.470191601836538,10.955278237412866,12.791441797196747,14.446654910014615,15.158283153470837,12.576236198153222,9.797930261434365,13.95993409158936,13.47065317875616,12.351648729620152,8.909334639663033,12.315550201597231,11.930515052927,11.915822514664958,9.407619556214158,0.0,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_synch_offset,32.841061427774186,27.365050277208653,26.076466339027746,28.294155838256017,34.804932728387925,25.86400424288653,31.860734139167118,31.550861206123272,22.18193343986804,26.550858828495084,18.85695291855943,17.683806905901722,18.57234769478314,20.12343333915977,21.776567134192046,23.09046096564093,12.42610444712471,14.81371051966888,15.044160323643126,15.603251984214452,14.614555276037757,12.705022108058039,12.569521878142393,12.900320828318176,13.507744486480053,16.82414283885246,17.03141271131919,12.977922197469933,13.185341704983342,16.723911462587797,13.715050268742784,14.170695365858283,15.364567403953668,15.535206541741935,12.555772700824141,15.650217569802312,13.421718797153664,18.105462944384428,9.479672775442326,10.013854970628763,0.0,,,,,,,,,,,,,,,,,,,,,,,
