,Unnamed: 0,kboTIME,x,y,z
0,0,2454731.1842188905,2310692105.0541267,5916209566.226908,129820573.72405908
1,1,2455177.644977683,2276265826.969914,5839018364.412313,129701509.26705836
2,2,2456228.696069404,1795644590.0851884,6046133106.616726,129056144.48168518
3,3,2456527.845480682,1674484183.578658,6243735720.629975,128774241.7239623
4,4,2456589.648609357,1655413106.563556,6099991410.517869,128715478.9492116
5,5,2456590.670597612,1656446123.6561265,6097878630.2870865,128714681.06279851
