,geocentricTime,x,y,z
0,2453623.460350035,13004045792.863518,4932723859.245402,-3630820609.4929
1,2453707.380416155,13099074361.17528,4772148836.267419,-3619694589.686849
2,2453967.560622394,13010936439.006842,5030727268.142182,-3585152130.1816864
3,2453968.530623166,13009588344.430605,5028771354.120241,-3585023000.4578815
4,2453977.520630329,12998790811.633297,5009685058.219737,-3583828515.6383476
5,2453977.81063056,12998494728.38519,5009050292.479314,-3583792909.165766
6,2453978.440631062,12997861945.658287,5007644029.134204,-3583705843.7622557
7,2454325.025989362,13008356106.593752,5096821356.046906,-3537569867.746145
8,2457051.111199445,13084858618.70492,5259753660.330245,-3169898288.828936
9,2457051.181019521,13085000180.977633,5259876392.233815,-3169889436.4955134
10,2457054.361342977,13091243575.934755,5265583909.216405,-3169458130.0517817
11,2457054.432083054,13091377324.552868,5265715737.084956,-3169448924.707705
12,2458119.224710833,12960208388.134956,5373811411.793527,-3023676228.459025
13,2458119.423301056,12960708273.685982,5373934302.038762,-3023651103.6968293
14,2458121.20229305,12965172098.97677,5375063511.086407,-3023404207.536176
15,2458127.171969743,12979909518.420767,5379895536.651872,-3022583382.700422
16,2458128.364021079,12982799052.619276,5381052519.377266,-3022421662.9211664
17,2458132.403335608,12992420457.40415,5385412830.874441,-3021867259.537244
18,2458152.13673774,13034276069.620667,5416085518.437546,-3019154236.7858396
