,mean,stddev
mass_1,1.5272639093936998e+18,1.5272639093937e+17
mass_2,6.727360906063007e+17,6.727360906063007e+16
sma_2,7700.0,100.0
ecc_2,0.69,0.01
aop_2,170.1158200661382,0.8
inc_2,10.045286183182586,0.4
lan_2,13.005495601577177,0.3
mea_2,312.5,0.9
j2r2_1,23805.0,2380.5
c22r2_1,2380.5,238.05
j2r2_2,525.0,52.5
c22r2_2,52.5,5.25
spaop_1,170.1158200661382,0.8
spinc_1,55.04528618318258,0.4
splan_1,13.005495601577177,0.3
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,55.04528618318258,0.4
splan_2,13.005495601577177,0.3
sprate_2,0.0002493,2.493e-05
lat_offset,-0.00019782544354433735,0.005
long_offset,0.00013435943444640153,0.005
