,time,Delta-RA_Secondary,Delta-RA_Secondary-err,Delta-DEC_Secondary,Delta-DEC_Secondary-err
0,2452230.790,+0.05510,0.01580,+0.19230,0.02910
1,2452443.83468,-0.14644,0.00178,+0.30011,0.00150
2,2452455.65343,-0.12770,0.00170,+0.31091,0.00100
3,2452467.66836,-0.10400,0.00100,+0.31814,0.00380
4,2452763.69690,-0.13201,0.00100,+0.31824,0.00756
5,2453052.24125,-0.14768,0.00053,+0.28121,0.00070
6,2453126.03197,-0.02039,0.00516,+0.30496,0.00130
7,2453179.55473,+0.06916,0.00169,+0.01995,0.00095
8,2454451.79730,-0.03908,0.00100,-0.16130,0.00268
