,time,Delta-RA_Secondary,Delta-RA_Secondary-err,Delta-DEC_Secondary,Delta-DEC_Secondary-err
0,2452816.23324,-0.00044,0.01000,-0.08217,0.01000
1,2454297.81813,-0.06759,0.00207,-0.02806,0.00174
2,2454301.30354,-0.05968,0.00100,+0.03850,0.00225
3,2454318.75424,-0.05644,0.00104,-0.04947,0.00117
4,2454319.83277,-0.06751,0.00331,-0.02882,0.00371
5,2454591.42161,+0.00067,0.00126,+0.07131,0.00337
