,time,Delta-RA_Secondary,Delta-RA_Secondary-err,Delta-DEC_Secondary,Delta-DEC_Secondary-err
0,2452552.70997,-0.08936,0.01000,0.01197,0.01000
1,2453680.44064,-0.05037,0.00048,0.03543,0.00070
2,2454399.17716,-0.01128,0.00189,-0.06105,0.00419
3,2454401.64001,0.02693,0.01075,-0.05502,0.00793
4,2454446.46744,0.06882,0.00285,0.03781,0.00317
5,2454474.02375,0.04221,0.00126,-0.04298,0.00269
