,mean,stddev
mass_1,1.384491956356228e+18,2e+17
mass_2,9.155080436437716e+17,0.0
sma_2,3030,450
ecc_2,0.019,0.04
aop_2,75.67573317500114,56.0
inc_2,111.38975544448262,5.6
lan_2,191.82036982875056,4.4
mea_2,227.7,4.2
