,geocentricTime,x,y,z
0,2458133.108,-11221287428.821373,2776068434.394784,-2788668225.3789396
1,2458133.117,-11221266007.46941,2776076376.4975915,-2788667188.215219
2,2458133.125,-11221246973.852459,2776083448.9989886,-2788666270.6163926
3,2458133.133,-11221227947.904322,2776090533.3002014,-2788665356.9572644
4,2458270.973,-11236314379.485998,3026991093.5437255,-2771988529.5947905
5,2458270.998,-11236375291.107695,3027008399.1497674,-2771985758.062377
6,2458271.001,-11236382607.791254,3027010470.497131,-2771985423.8930793
7,2458271.036,-11236468075.23459,3027034539.6208563,-2771981494.846264
8,2458271.039,-11236475409.520947,3027036593.7767344,-2771981155.191756
9,2458271.043,-11236485190.497921,3027039330.3133755,-2771980701.5476227
10,2458271.061,-11236529230.681984,3027051610.5287004,-2771978648.750563
11,2458305.28,-11323108633.32016,3025172503.029454,-2767829996.262972
12,2458305.283,-11323116142.589865,3025170083.4024982,-2767829598.0753
13,2458305.286,-11323123650.12981,3025167663.125469,-2767829199.7711983
14,2458305.289,-11323131155.938135,3025165242.225723,-2767828801.3628373
15,2458305.293,-11323141160.979286,3025162013.440578,-2767828270.0110164
16,2458305.296,-11323148662.726786,3025159591.1999555,-2767827871.407792
17,2458885.0,-11201579929.832018,2662956405.6322627,-2697258441.1509304
