time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err
2453746.525,26.78137036292963,192.17743935269473,0.1880569769539875,-0.31198824781276285,0.002502865151198184,0.002213451828032997,-0.1536450887670071,0.1151229070332274,0.0025984961561038226,0.002284689338126642
2453746.554,26.781388477693785,192.177511180848,0.19243332572216332,-0.31611572115006065,0.0025356838266528394,0.0022245678094724507,-0.15864657325437292,0.1144599835314768,0.0026159450155784584,0.0022923648498922753
2454138.287,26.92986516793511,193.23155515004015,0.11411961194909281,-0.28276429931073954,0.001979593443867341,0.0021032645462612165,-0.5305687626204758,0.21028490108272277,0.003689061011299338,0.005642281990064119
2454138.304,26.929871540931753,193.23159831434148,0.11508773244486292,-0.2836832426938833,0.001946492885607506,0.0009889136626490913,-0.5290762649622138,0.20434663005555198,0.007462723098391158,0.0029947607943856536
2454138.351,26.92989065986702,193.2317278072924,0.12299694509607662,-0.29144900585993555,0.0021130894622308264,0.0024776262148340825,-0.5212605329774078,0.20189930511299767,0.005463412620575228,0.0045922868426750045
2454138.3680000002,26.929897032850928,193.23177097161613,0.12463755951159783,-0.2909487179413627,0.002220331557209898,0.0016765315729414915,-0.5234934309910955,0.2015452208319854,0.0064061353581642225,0.004361706355714683
2454138.418,26.92991090632638,193.2319147124315,0.13148955969484177,-0.29736041936328106,0.0026870506050185403,0.001205613069470302,-0.5103582799890205,0.1956146280553612,0.0037239949146837988,0.0032534523085161883
2454138.435,26.92991727929641,193.23195787677835,0.1348028499450038,-0.29604521639208503,0.002540665223243927,0.002721926653891633,-0.5110916405485,0.19970776594138276,0.005181320354348643,0.004891411969909565
2454138.484,26.92993639816955,193.23208736985922,0.14104626101953954,-0.30290668120135444,0.0021504931566430456,0.0014061770183284679,-0.49898790517772795,0.19226742645973793,0.012811145465265291,0.007640301690379694
2454138.501,26.92994277112683,193.2321305342285,0.1441734477722889,-0.30419525995083724,0.0028811050069736553,0.002645199542039728,-0.5031500771224273,0.19135667399012837,0.004027356304433023,0.004386735137221974
2454138.551,26.929965762721352,193.23226966625086,0.14876968361221543,-0.3102814964190185,0.0022194138958913376,0.0013734676515346081,-0.4980756985986545,0.18684278570058055,0.005762326611210822,0.004377997788411041
2454138.567,26.92997213565628,193.23231283064746,0.15397509486945182,-0.31048814981485356,0.0022250455795655346,0.0017601599083385156,-0.4953333795228332,0.1839943026596622,0.004612300258753732,0.002650029510202281
2454469.653,27.04993095076083,194.12583996696267,-1.0654694845953827,0.7378649841720128,0.008019260172762454,0.004099313308219392,-0.2704477657886173,0.09483869403631229,0.008215627621832646,0.005985488570636537
2454593.726,27.09354417401136,194.46125687320162,0.9206058660865324,-0.6117688690240914,0.004144669249653871,0.003105332025030139,-0.691873797217113,0.3117983681640463,0.007453503961120901,0.005142919214196268
2454600.192,27.095788906226673,194.47874256373996,0.20016194690839484,0.02939521363838266,0.004252815062863986,0.004218725783773564,0.1725422907654206,-0.10255235780295413,0.01111351092468054,0.005141621804735763
2454601.99,27.096420252455196,194.48360750403373,-0.044129227389078096,0.22098283804432717,0.005145577526733434,0.006018572722837473,0.44920482005466056,-0.22579526564514169,0.00605252901696462,0.005254104418389824
2454603.788,27.097038571212764,194.48846740901234,-0.2997954838235728,0.4068754659870942,0.005455924864632519,0.0023787705653924864,0.5395730240849161,-0.2539003717885809,0.004699928175975152,0.0032649019072793863
2454605.788,27.097734576001464,194.49388092181061,-0.5670043224441201,0.5799058419153013,0.009277423599138915,0.0046852347677970325,0.27319810981794035,-0.12197369907082432,0.0059312028743832524,0.003893950829649367
2455375.655,27.350222895840403,196.58191930772853,,,0.0015458652204141052,0.0013567932097497922,0.17667201850599668,-0.08570801548197243,,
2455375.661,27.35023052170529,196.58193883482483,1.0133863490054296,-0.7391677094971676,0.0016072237081795053,0.0011109988516209877,,,,
2455375.673,27.350232805043877,196.58197265749607,,,0.001885743770046841,0.0012252120540472762,0.16930525102196725,-0.08280770244604548,,
2455375.719,27.350247280947812,196.58209365262417,,,0.0017802357792249125,0.0011536337365020677,0.16576455780494825,-0.08084664635066026,,
2455375.727,27.35024575133576,196.58211771175564,1.0124565571203448,-0.7361142440159942,0.0017302138229209755,0.0012938971586528803,,,,
2455375.7369999997,27.350244221744408,196.58214177088306,,,0.0018423621834131967,0.0012147099169663436,0.16106269136315632,-0.07750106747760134,,
2455375.786,27.350262510530957,196.58227252962442,,,0.0013591506823887713,0.0013795153313813108,0.1455436393101195,-0.0741082664486898,,
2455375.793,27.350260980898653,196.58229658876644,1.0112890373306982,-0.7327814525139892,0.005604508146276593,0.003969857448483475,,,0.0042659944429566995,0.002818985197734323
2455375.859,27.35028536589031,196.58247093384034,1.0100920373275812,-0.7302114509828175,0.0019566824423412764,0.0017097801584860396,,,0.001981684415295786,0.0016977657667174072
2455375.9280000003,27.350304408238287,196.58265957459113,1.0090981635059393,-0.7271297883714207,,,,,0.0015935315150918427,0.001422659805807926
2455375.9930000002,27.350328793086707,196.58283391984807,1.0090347741993355,-0.7256591033467524,,,,,0.003297098869965517,0.002784814912489548
