,geocentricTime,x,y,z
0,2453397.162,-6634289564.0752325,-1454404647.5921092,3438142379.9023657
1,2453431.009,-6578894180.02285,-1395132178.4353328,3439534247.1315002
2,2453433.984,-6576158525.6782,-1388717427.3522496,3439656054.2781267
3,2453518.816,-6650925696.738408,-1234056503.605431,3443103784.2417116
4,2453551.81,-6729364210.235585,-1233306592.0150588,3444430390.4546413
5,2454552.897,-6448363900.070001,-1669783893.6405597,3480736772.766021
6,2454556.929,-6449333128.754892,-1660711468.7638607,3480867184.3860745
7,2454556.948,-6449338966.144537,-1660668659.311747,3480867653.666481
8,2454556.963,-6449343618.624666,-1660634833.4234486,3480868010.716484
9,2454556.964,-6449343930.246848,-1660632577.527028,3480868034.1294165
10,2454557.004,-6449356555.300733,-1660542268.9057062,3480868936.2674365
11,2454557.005,-6449356875.110004,-1660540009.630736,3480868958.073923
12,2454557.02,-6449361697.928623,-1660506113.4941661,3480869281.7231655
13,2454557.039,-6449367877.481749,-1660463163.3232074,3480869684.036839
14,2454557.058,-6449374137.987542,-1660420202.885676,3480870080.658776
15,2454557.074,-6449379473.73145,-1660384023.033657,3480870412.5473127
16,2454557.091,-6449385207.0998745,-1660345584.4880776,3480870765.317316
