time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err
2453397.162,26.64317912003066,191.24085700018892,-0.5579668381088254,0.2931227581864597,0.013545183972291342,0.011814187949019646,,,,
2453431.009,26.656801016277296,191.3314356996759,-0.7919724824361651,0.6836527984082807,0.022597704635237758,0.019766896724074223,0.4835546833092508,-0.20969179410084196,0.029237928457269618,0.025432978934971522
2453433.984,26.65800293264157,191.33939959821188,-1.008211942578896,0.832545737611447,0.019627596592665105,0.017189385207100123,,,,
2453518.816,26.691909352519783,191.56658542047577,0.524406545707734,-0.3071491487631719,0.00975343004496457,0.008522538656727181,,,,
2453551.81,26.705013161094094,191.65500791499576,0.39171753110309737,-0.3946496749017684,0.009505743083932004,0.005169941709975833,-0.6136134940575744,0.2356136457411269,0.038566955755185255,0.03408740887709141
2454552.897,27.079270732702284,194.35084680602594,-0.01830676758345362,0.22655569075219625,0.009426148660186486,0.007893366418813733,,,,
2454556.929,27.080687152085662,194.36175167765765,-0.5681678199536577,0.6146804928464804,0.0053829172250814275,0.003994046509301851,-0.6983719518970588,0.3170613807833826,0.012580975743218058,0.010545103941914982
2454556.9480000003,27.080697292243016,194.36180466687702,-0.5695058245919427,0.6194308044309134,0.007451620324319473,0.007499274914914385,-0.6914398374689767,0.32406276162477604,0.012682864827944427,0.01611184015936951
2454556.963,27.08069972428241,194.36183829443257,,,,,-0.7026152328492685,0.32045939530133416,0.012496557096985484,0.010418190758736465
2454556.964,27.080703578329192,194.36184797527204,-0.5739862141041385,0.6203384600366147,0.004844185171417141,0.005509006260586748,,,,
2454557.004,27.080714728419238,194.36195853882123,-0.5774014660573812,0.624878040403546,0.005732050608250416,0.0036350214693998593,,,,
2454557.005,27.080714728428987,194.3619585388181,,,,,-0.7009184394618728,0.322735132284931,0.008969972792891757,0.009917666133891664
2454557.02,27.080721014493093,194.36200184723538,-0.5775773005723295,0.6243868734935705,0.004603888293816114,0.0032672880558884503,-0.7010044787847391,0.3142610271581383,0.009923589238329414,0.007812049159642251
2454557.039,27.080727300592752,194.36204515564575,-0.5775516653983459,0.6267964956344168,0.009224931598357598,0.0064797246356497725,-0.6982897814026501,0.3230276400672642,0.015132745157087237,0.014974689306286926
2454557.058,27.080728310499566,194.36210272998457,-0.5802897621748571,0.626234870344456,0.008474099239947333,0.007428854473978111,-0.6872583491102091,0.32405486860981775,0.015202025510755576,0.007735329297688048
2454557.074,27.08073459656187,194.36214603841623,-0.5836022254001705,0.6231145250317673,0.013924521106011589,0.01215278140135014,-0.6925096922145713,0.31669615898273323,0.013743573039135029,0.01369435671634393
2454557.091,27.080740882630465,194.36218934685033,-0.5867476803302907,0.6306340549219405,0.0070886293788802665,0.006659461577231663,-0.6985341336019246,0.3200799578689907,0.008338277426282212,0.012518524050450359
