,lhood,reduced_chi_sq,pval,mass_tot,sma,ecc,aop,inc,lan,mea,j2r2,mass_1_best,mass_2_best,sma_best,ecc_best,aop_best,inc_best,lan_best,mea_best,j2r2_best
1998 SM165/10_locked_2/,-7.508869670897875,1.3652490310723409,0.1816862538730083,-0.004374874026920328,0.25816887343312844,-0.20142804485594817,0.07489785165034599,-0.1847261525185374,-0.28446483030893654,-0.039037921909202855,0.8723444716203479,4.816143745773131e+18,2.0653259039489976e+18,11371.085910178756,0.473309452500859,49.328762298188714,66.3019260223625,52.36562995944985,165.50201598229856,7.753516164711317
2002 CR46/10_locked_2/,-1.44125438618694,2.88250877237388,0.08954640932286373,-0.28747233236391034,-1.4748026509976058,-1.33332050491803,-0.4180535489667079,1.4014014613739032,1.144834371140972,-1.0863402084667089,2.7169270649405473,6.006567941501477e+17,3.5314999907376704e+17,1629.819137004362,0.5258269866995156,128.95554109596955,49.156226195569666,230.9302642924003,19.67119979329044,7.099666125173958
2002 LM60/10_locked_prograde_2/,-2.9831809394992814,0.6629290976665071,0.7432801696092641,-0.00011622257407603587,0.2502792726161887,-0.1400854899006817,>3,-1.3573820369030032,<-3,<-3,1.0265946202805996,1.021883512207729e+21,1.885543029740486e+20,13312.351415865476,0.02188603410605359,299.658565232321,14.605603818856936,353.43850030852144,235.4820643245206,9.806833135202462
2002 LM60/10_locked_retrograde_2/,-3.3930826458293177,0.7540183657398484,0.659371526806524,-0.04763251675732094,-0.2696154235730993,-0.2287700388269164,>3,0.07581287087088316,<-3,<-3,0.8695929420840458,1.0093128239226095e+21,2.065539027681162e+20,13333.597750618565,0.02246522108456269,298.13964060838725,149.90544414450648,346.43521408305753,241.8246555904459,96.36871507458723
2002 UX25/10_locked_2/,-1.382404748359385,0.3949727852455385,0.9058737330961876,-0.060376374574420966,-0.5253041992492389,0.23497542169729735,0.35166462786812314,0.09369054041507782,-0.28711214843290955,-0.2505551491402912,2.540972470953087,1.1708564418581288e+20,7.735897970107549e+18,4772.452709980496,0.17198918632133872,16.473963168322857,84.45502474398127,203.25021720567588,289.480149818477,1.9152134025969856
1997 CQ29/10_locked_2/,-4.290317342217956,0.9534038538262124,0.4768495479814555,0.08389680152201685,0.8419213242320004,0.6266514549945068,-0.919703776551074,0.19614413891553287,-0.7297458785516726,0.5811165524564146,0.3302273530588533,4.001515516793572e+17,5.018771499586528e+16,8165.467350967398,0.5409624059463652,201.70121534566087,72.63012676207332,17.022694208389915,34.97149182082251,9615.398217084725
2000 CM114/10_locked_2/,-6.2708723131829265,4.18058154212195,0.005740082492269538,-0.0441509554138208,-0.23763390071179571,-0.5859408419253703,-0.1666474785281652,0.0398337101374239,-0.007843142885486099,-0.6919051679737271,0.4026953167030721,1.6474897340175936e+18,3.7851501288141466e+17,2505.3579144253367,0.040909865165109485,203.44451438991885,70.72600171893315,278.9719116441875,11.704938660734625,2485.388839773078
2003 FX128/10_locked_prograde_2/,-1.7898148426130382,1.1932098950753591,0.3105803222724772,0.03124210389808171,0.34237014805698335,-0.7054421519400277,-0.21965149144604834,0.08663595488436367,-0.09467953688494302,0.05669666738707318,-0.12060377314939436,5.148697405226494e+18,3.762628454602537e+17,1852.7222411467042,0.0032988889764247373,276.53918448395115,75.7922283577869,112.35417112646955,337.697205017079,1036.9068758852209
2003 FX128/10_locked_retrograde_2/,-3.531337829385317,2.354225219590212,0.06992669044937694,-0.08252159789019695,-0.2483737966534822,-0.7958846452884194,-1.3493326403634291,-0.3897279021617533,-0.07188813761663948,0.2528360254965158,0.5852718846768803,3.7553784337679007e+18,1.8150883627173092e+18,1857.69756783719,0.007776665338424534,303.0631597864084,133.1457200624364,120.98418854447256,312.603832124733,1983.2220158572686
1999 RZ253/10_locked_2/,-9.45089082160214,2.1001979603560312,0.026041096770921483,0.019751637970272035,0.29964824923951366,0.317002638475412,-1.107011101324974,-0.4150085796046135,0.06171281283635428,0.8291844674015345,0.23170468778023942,3.2453680931404365e+18,1.862900328506276e+17,4525.579733346815,0.4693018078099246,140.20587074223585,50.17516987520497,88.65057227090391,334.8238755296117,1218.0460535804405
1997 CS29/10_locked_2/,-16.893953653889554,1.0899324937993262,0.3342688124811253,-0.011848465058265756,-0.3302385696943797,0.7898358843998602,0.9063947455931589,0.6855215850724447,-0.09046473154077395,-1.125793724149945,0.9877310447876729,6.813317654677678e+18,4.007752571442965e+18,2774.5402276748932,0.013587070850520916,170.25331423565882,120.78490554954945,134.17251174539416,48.04963798044496,4.083487988216201
2000 CM105/10_locked_2/,-2.902925136280349,1.9352834241868992,0.12144771782243925,-0.15761911017485356,0.12422804675152868,-0.9055525522164274,1.4948629474378885,0.39088374179284824,-0.8210865039944777,-0.6566065732252184,0.5794979860051553,6.036534814753019e+17,2.8870102473413466e+17,2412.015416172765,0.01786970641189734,230.98166645723114,61.15910682174177,199.93083656640994,299.4249176653293,759.9292014745494
2001 QT297/10_locked_2/,-20.637787692834745,1.528725014284055,0.0387407636620658,-0.02122170134803525,-0.42451737893087327,0.3583691566527114,-0.09777415425276118,-0.15289540932826776,0.13593853041333454,0.09711446924307152,-0.28404633273865554,1.6995763890898312e+18,7.407196669967675e+17,27628.66280235102,0.2487038191042593,302.6994152828741,127.6128764929249,36.49775734777814,275.4208060561121,795551.1400313224
