,mean,stddev
epoch,2457000.0,
period_1,35.31,0.002
sma_2,2300,40
ecc_2,0.02,0.01
inc_2,43,2
long_epoch_2,13,2
lan_2,208,2
pomega_2,150,40
mass_tot,0.77,0.04
diam_1,160,
diam_2,121,
