,mean,stddev
mass_1,1.62e22,0.1e22
mass_2,2.0e20,1.0e+20
sma_2,37273,500
ecc_2,0.0062,0.005
aop_2,170.0,10
inc_2,61.59097624,2
lan_2,139.11777174,2
mea_2,170,10
lat_offset,-0.007,0.001
long_offset,0.002,0.001
