,time,Delta-RA_Secondary,Delta-RA_Secondary-err,Delta-DEC_Secondary,Delta-DEC_Secondary-err
0,2457991.88901,0.10265,0.00248,0.00693,0.00579
1,2459453.92537,-0.09395,0.005,-0.06935,0.005
