time,Delta-RA_Vanth,Delta-RA_Vanth-err,Delta-DEC_Vanth,Delta-DEC_Vanth-err
2457117.92,-0.07854,0.001,0.22974,0.001
2459271.93,-0.2639,0.001,-0.00932,0.00229
