,time,Delta-RA_Secondary,Delta-RA_Secondary-err,Delta-DEC_Secondary,Delta-DEC_Secondary-err
0,2456492.10429,0.12364,0.10000,-0.04076,0.10000
1,2456493.11212,0.06207,0.00695,-0.11215,0.00864
2,2456590.85359,0.00036,0.00265,-0.09986,0.00607
