,mean,stddev
mass_1,3.7923769896581806e+18,3e+17
mass_2,1.707623010341818e+18,0.0
sma_2,1850.0,200.0
ecc_2,0.008,0.04
aop_2,23.236190872691736,180.0
inc_2,131.3421018176688,6.0
lan_2,122.00511994605385,6.8
mea_2,233.5,10.4
lat_offset,0.0,0.005
long_offset,0.0,0.005
