,time,Lat_Sila,Long_Sila,DeltaLat_Nunam,DeltaLong_Nunam,DeltaLat_Nunam_err,DeltaLong_Nunam_err
0,2452214.434311129,15.108430648125731,15.611628558594301,-0.0665501137461888,0.008459036147263975,0.0034067077847080105,0.0038353791572224715
1,2452217.909940865,15.108633481245356,15.611589387518805,0.0720946745182971,0.011831713727024564,0.002778213639493272,0.00278583647426418
2,2452570.3124628994,14.779685248903569,15.550264074773317,0.07439366920252155,-4.307338210943742e-05,0.0025661455214446736,0.004294760990292638
3,2453704.846235668,13.742059554362429,15.34269779099425,0.008225059686139957,0.010585735122080532,0.0012813951810867153,0.0017363659545818952
4,2454383.2205252587,13.028246376042103,15.194058414826767,0.08629256841246047,0.015573639861666752,0.0014259240447154758,0.0014372118526130827
5,2454383.423305622,13.027600305992147,15.193934497142886,0.08607608480062368,0.013314533077743343,0.0015403846729499413,0.002253663121730377
6,2454385.018968479,13.02253132903752,15.192940295020787,0.053144105276459186,0.001717136579451148,0.0016065733451757032,0.0012361527158268482
7,2454426.7699027886,12.980986960789815,15.183456628340162,-0.08512275863381547,-0.010044609962859611,0.001503944398711285,0.0011868813790726484
8,2454457.9104676526,13.062004227470197,15.196636002490331,0.08707691531668615,0.01330408262315556,0.000989312643762236,0.00099916985996805
9,2455255.0465306747,12.611742895304973,15.086397602179684,-0.028727910981274363,0.002037357288860542,0.0027459820849622166,0.004285334488374643
10,2455256.0294020204,12.616164463065644,15.08719103418003,0.0029760062446371194,0.011107532532857716,0.00595814594834148,0.009411693180068912
11,2455289.9986582496,12.726471302009541,15.106943892314352,-0.08856796906755449,-0.013080112802733322,0.0013375091666441776,0.0013834432418148035
12,2455313.0883393665,12.741233391181613,15.109400625647336,-0.04346717362366803,-0.014063474695481196,0.0024600417484615124,0.0034700954587721313
13,2455345.11357211,12.672786322134003,15.096502783594373,0.06523853674238467,0.01974155078945637,0.0027003481361085315,0.0030794418284605597
14,2455987.5029290114,11.823860642179806,14.911856549182716,0.0,0.0,0.0027943210845115768,0.006523375600955745
15,2456312.7423281716,11.193976161858519,14.776249116417127,0.0,0.0,0.0029147891055155933,0.006780067629718535
16,2456331.492744424,11.29934254032742,14.796780947376188,0.0,0.0,0.0029886041152326947,0.006964823818711018
17,2456337.772649828,11.334547954068606,14.80366391703066,0.0,0.0,0.003138172428519556,0.007318752017469767
18,2456356.5221258462,11.431938692005591,14.822742515477115,0.0,0.0,0.0031433204649908013,0.007311935410169948
19,2456362.803371173,11.460404268994221,14.828326261639896,0.0,0.0,0.0029267014200504457,0.006804699296805771
