,mean,stddev
mass_1,4.92e+20,7e+18
mass_2,0.0,0.0
sma_2,5720.0,30.0
ecc_2,0.01,0.004
aop_2,16.280805155366735,20.0
inc_2,17.569477066734223,0.4
lan_2,110.31289057369173,1.0
mea_2,173.8,0.4
j2r2_1,4270.0,427.0
c22r2_1,427.0,42.7
j2r2_2,1430.0,143.0
c22r2_2,143.0,14.3
spaop_1,16.280805155366735,20.0
spinc_1,62.56947706673422,0.4
splan_1,110.31289057369173,1.0
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,62.56947706673422,0.4
splan_2,110.31289057369173,1.0
sprate_2,0.0002493,2.493e-05
lat_offset,0.001351647377334563,0.005
long_offset,-0.00014298678568804916,0.005
