,mean,stddev
mass_1,4.193475898496415e+17,4.193475898496415e+16
mass_2,3.606524101503586e+17,3.6065241015035864e+16
sma_2,20990.0,80.0
ecc_2,0.1494,0.0007
aop_2,317.71343206543025,2.0
inc_2,15.166421839356962,0.2
lan_2,329.91193265832743,0.3
mea_2,299.6,0.2
j2r2_1,510.0,51.0
c22r2_1,51.0,5.1000000000000005
j2r2_2,485.0,48.5
c22r2_2,48.5,4.8500000000000005
spaop_1,317.71343206543025,2.0
spinc_1,60.166421839356964,0.2
splan_1,329.91193265832743,0.3
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,60.166421839356964,0.2
splan_2,329.91193265832743,0.3
sprate_2,7.502771924932015e-08,7.502771924932016e-09
