,large_low_synch_low_synch_offset,large_low_synch_low_synch_,large_low_synch_low_fast_offset,large_low_synch_low_fast_,large_low_synch_high_synch_offset,large_low_synch_high_synch_,large_low_synch_high_fast_offset,large_low_synch_high_fast_,large_low_fast_low_synch_offset,large_low_fast_low_synch_,large_low_fast_low_fast_offset,large_low_fast_low_fast_,large_low_fast_high_synch_offset,large_low_fast_high_synch_,large_low_fast_high_fast_offset,large_low_fast_high_fast_,large_high_synch_low_synch_offset,large_high_synch_low_synch_,large_high_synch_low_fast_offset,large_high_synch_low_fast_,large_high_synch_high_synch_offset,large_high_synch_high_synch_,large_high_synch_high_fast_offset,large_high_synch_high_fast_,large_high_fast_low_synch_offset,large_high_fast_low_synch_,large_high_fast_low_fast_offset,large_high_fast_low_fast_,large_high_fast_high_synch_offset,large_high_fast_high_synch_,large_high_fast_high_fast_offset,large_high_fast_high_fast_,shape_low_synch_low_synch_offset,shape_low_synch_low_synch_,shape_low_synch_low_fast_offset,shape_low_synch_low_fast_,shape_low_synch_high_synch_offset,shape_low_synch_high_synch_,shape_low_synch_high_fast_offset,shape_low_synch_high_fast_,shape_low_fast_low_synch_offset,shape_low_fast_low_synch_,shape_low_fast_low_fast_offset,shape_low_fast_low_fast_,shape_low_fast_high_synch_offset,shape_low_fast_high_synch_,shape_low_fast_high_fast_offset,shape_low_fast_high_fast_,shape_high_synch_low_synch_offset,shape_high_synch_low_synch_,shape_high_synch_low_fast_offset,shape_high_synch_low_fast_,shape_high_synch_high_synch_offset,shape_high_synch_high_synch_,shape_high_synch_high_fast_offset,shape_high_synch_high_fast_,shape_high_fast_low_synch_offset,shape_high_fast_low_synch_,shape_high_fast_low_fast_offset,shape_high_fast_low_fast_,shape_high_fast_high_synch_offset,shape_high_fast_high_synch_,shape_high_fast_high_fast_offset,shape_high_fast_high_fast_
large_high_fast_low_synch_offset,1587.6541305762807,1587.4966588796935,1188.5994208346165,1188.6325414891598,1282.9236902485864,1283.037283046796,1670.449380351913,1670.6390774132408,442.1811262421767,442.33263332532476,511.84954224916044,511.94523458600713,694.7637277328795,694.9645630190892,263.0054192131145,263.165677704626,1663.507350155765,1663.7518121055275,1148.3218403517426,1148.4579092095687,893.1845966234473,893.2582200330025,231.83792899484848,231.65744269745935,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_low_synch_,1587.8162435780798,1587.6541305762807,1188.5694736940782,1188.5994208346165,1282.8115476445364,1282.9236902485868,1670.2610329270872,1670.4493803519135,442.0401338887153,442.1811262421766,511.7642973025533,511.84954224916055,694.5807975638226,694.7637277328797,262.8576723533777,263.0054192131146,1663.2644069694798,1663.507350155765,1148.188312702104,1148.3218403517426,893.1136051489829,893.1845966234473,232.0413055708469,231.83792899484854,1.7425131922863086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_low_fast_offset,1349.0889520701871,1349.3302486806042,742.8681506358904,743.0077218001713,638.627328004211,639.0190394499278,1164.2401096624164,1164.8398751456982,859.0122891255176,859.2009557663118,577.1339682249936,577.4096454139931,172.85513388933555,173.30728728314915,525.9591459944618,525.8717143344994,1359.878520837835,1360.4013745695418,471.4180854025426,471.83604396824654,468.67020867216996,469.69164204057444,575.6807295779776,575.4394450066206,776.4091328714068,776.3739142215852,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_low_fast_,1348.8497506366643,1349.0889520701871,742.7318042663292,742.8681506358905,638.2392301100825,638.6273280042111,1163.6429988539244,1164.2401096624167,858.8450743997598,859.0122891255177,576.8693567433619,577.1339682249937,172.41747141739498,172.8551338893354,526.0505874424837,525.9591459944619,1359.3577338858845,1359.878520837835,471.0082402135996,471.4180854025426,467.65499206481604,468.67020867216996,575.9259824616985,575.6807295779777,776.4480743977863,776.4091328714069,1.742513192286428,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_high_synch_offset,913.2156385010938,913.5907792202985,264.21511503045434,264.5362519493134,88.95743539282378,87.6686394406719,605.2495705849549,605.9950798882893,1211.452822816821,1211.7367481675594,1106.7979451163203,1106.7082434195454,694.0308397472548,693.8976355946356,1046.9306091454187,1046.7617352875886,826.5031869348504,827.1757383845139,288.5388581638987,288.50535896481006,862.2928589250927,862.1458969154139,1076.709566602103,1076.5640692985207,1262.1590446776083,1262.046565543076,618.3922835990326,617.9610294382069,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_high_synch_,912.8429898543727,913.2156385010938,263.90812483774454,264.21511503045434,90.25675990208832,88.95743539282378,604.5091962033567,605.2495705849549,1211.171656376218,1211.4528228168215,1106.8902428994184,1106.7979451163203,694.1675033643147,694.0308397472551,1047.1016082594335,1046.9306091454189,825.8341616987378,826.5031869348504,288.5816516496671,288.5388581638988,862.4638674915608,862.2928589250927,1076.859874379348,1076.7095666021032,1262.2734263211312,1262.1590446776083,618.8281911890431,618.3922835990326,1.7425131922862824,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_high_fast_offset,1196.0492670383685,1196.2190765904752,603.4685059669841,603.5288120693499,580.85229612356,581.1467373944978,1119.613341584783,1120.1301053038626,1042.9663341755643,1043.0487801431166,641.9533092182122,641.9318793803725,373.7958096364928,373.9571561690086,621.4581751341054,621.2530410006148,1224.688420794456,1225.2297548913145,399.9404518484131,400.2191526533045,439.88022661921025,439.92527407716864,652.6542064275168,652.241331992048,819.1870023859786,819.1792705775713,224.11312275416196,223.94212364449015,562.7409929970543,563.1077235544517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large_high_fast_high_fast_,1195.882036872535,1196.0492670383685,603.412129419313,603.4685059669843,580.5621961794986,580.85229612356,1119.0986892761086,1119.613341584783,1042.8869273904734,1042.966334175564,641.9859075175714,641.9533092182122,373.651635105559,373.7958096364926,621.6703503093441,621.4581751341055,1224.1492944265651,1224.688420794456,399.6699070055748,399.94045184841303,439.8514914282502,439.88022661921025,653.070123216976,652.6542064275168,819.2067179511132,819.1870023859789,224.29272273036264,224.113122754162,562.3786434474225,562.7409929970544,1.7425131922863468,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_synch_offset,1569.8582323348223,1569.7923096565303,1122.1842241301626,1122.186333367084,1196.9030021881583,1196.9988552344255,1628.704869791892,1628.9223449306123,681.8873496750757,681.9262189136089,282.0366998711355,282.0754040770377,573.2879148676814,573.2852887722504,284.1039418183979,283.8839002240631,1570.069673877744,1570.3056259869297,1041.2070760219476,1041.3063065073195,715.8388238549974,715.8292660313668,274.615425773705,274.16363351534886,262.71115217042285,262.400279682775,664.6166555376485,664.5635043545111,1178.8784686319286,1178.983956991172,714.078003658269,714.0744204564309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_synch_,1569.9280724788416,1569.8582323348223,1122.1852523929308,1122.1842241301629,1196.808850377074,1196.9030021881583,1628.4888044280633,1628.704869791892,681.8518381753449,681.8873496750756,282.0058326350811,282.0366998711354,573.2967024906256,573.2879148676814,284.34128181082315,284.10394181839797,1569.835375524573,1570.069673877744,1041.110169820352,1041.2070760219476,715.8517461867467,715.8388238549974,275.0848158926316,274.615425773705,263.03285565798774,262.71115217042285,664.6742774428715,664.6166555376485,1178.7748792060045,1178.8784686319289,714.0853326261358,714.078003658269,1.742513192286403,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
