,geocentricTime,x,y,z
0,2454947.637490428,-2240185932.9492526,-6221735181.477789,2413861159.629295
1,2455411.498530837,-2294417081.435046,-6222004453.146277,2429498930.5459757
2,2455411.572360981,-2294530044.7785864,-6222130458.097325,2429501034.0476346
3,2455439.447385421,-2325257073.916625,-6280819754.896588,2430397319.5600457
4,2455440.767598,-2326002226.2777677,-6284020710.751067,2430436535.5823855
5,2455466.815288898,-2325683754.5261407,-6350905752.260172,2431268684.147014
6,2455752.015426964,-2117377352.7043827,-6209766592.198461,2440068484.919707
7,2456019.764891398,-1830793667.2560883,-6334998378.056455,2447846394.523082
8,2456053.693917817,-1859323329.737431,-6261146903.15394,2448794944.4853883
9,2456141.583139872,-2030144434.1126227,-6257083765.920352,2451220792.6624026
10,2456404.714594461,-1709545686.0262504,-6304276183.752566,2458169109.1123853
11,2456486.482404208,-1860682243.6813214,-6244822816.36892,2460230011.2922816
