,mean,stddev
mass_1,1.15e+20,0.1e+20
mass_2,1.25e+19,0.0
sma_2,4770,200.0
ecc_2,0.17,0.05
aop_2,17.0,10.0
inc_2,84.4,5.0
lan_2,203.2,5.0
mea_2,289.0,10.0
j2r2_1,7500,5000.0
spinc_1,84.4,5.0
splan_1,203.2,5.0
sprate_1,1.214e-4,0.0
