,-3sigma,-2sigma,-1sigma,median,1sigma,2sigma,3sigma,mean,best fit
x1,-0.03943881930574378,-0.02925196512264705,-0.01438509357590334,27.472615125981726,0.014000948931478518,0.02782777370862277,0.03723029681239609,27.472460409619796,27.4681302658062
y1,-0.03916466355401482,-0.029429815505796597,-0.014856060066374965,28.705959060012795,0.014925456962053829,0.030045969318646115,0.04052255665405369,28.70602486217731,28.714191804386456
h1,-316.58031950545956,-243.08855475069868,-130.02523183880476,8679.998403533866,109.53903724530574,218.36658558991257,295.3605550715347,8673.528610367948,8708.310715414298
x2,-0.04329555372711269,-0.03215494785211703,-0.015945229856704657,23.66425285818338,0.016606245039742618,0.03262690746058183,0.04429499846170515,23.664469857658094,23.665505896907423
y2,-0.05056943725810825,-0.037851212497646,-0.01903300392439533,26.9422116935117,0.018735510506914466,0.03672589617169564,0.04872168056254367,26.94208327438235,26.941685931684265
h2,-258.7482909568607,-194.75463182791736,-99.2164081299461,7060.055485730856,106.95863982698302,229.25890321461156,310.7590053952563,7064.124907070952,7069.3084758882005
f,-0.9269131556036214,-0.7224730728275142,-0.3668561534163932,-1.697054437160702,0.3349815653884163,0.7106407887018015,1.002530421080365,-1.7049899354117646,-1.5058362729339447
dra1,-0.0023640837436635087,-0.0017844784345158737,-0.0008927171729507521,0.1635963772787985,0.0008814742687409116,0.0017486262862074498,0.0023810936512943526,0.16359153562270448,0.16366906943201617
ddec1,-0.002373231390606634,-0.0017855531069699282,-0.0009033051317509574,-0.050170943994487516,0.0009056117519889995,0.0017988980990688228,0.002428551529476408,-0.05016889683650564,-0.049788530994021585
dmag1,-0.059509686694030534,-0.045058677558069304,-0.022584393675571607,0.22277883852938268,0.023001550809771037,0.0447269899126308,0.05896728086980679,0.22286307566312374,0.2263924587397524
sep1,-0.002255050265247638,-0.001705842602497648,-0.000859615239737932,0.17111889038966305,0.0008496176542563683,0.0016950861604741463,0.0022796698960118322,0.17111393629182,0.17107443440585965
pa1,-0.8412231393051428,-0.61924042881272,-0.3121682659288929,-17.04892575146406,0.31273011542704765,0.6250848952704189,0.8331428781807624,-17.04946957076444,-16.919895204240706
dx1,-0.05627013528769176,-0.04160237268787004,-0.02037159084688689,-3.808178512903906,0.02120958265908568,0.04151791963319873,0.05523515376146726,-3.8079905519617046,-3.802624368898776
dy1,-0.06493900442389955,-0.04833113708827241,-0.02435578080483558,-1.7638399388299035,0.024029869808920523,0.04822042500871859,0.06486856240599082,-1.7639415877949576,-1.7725058727021903
lat1,-6.52444369642069e-07,-4.895442016206175e-07,-2.4760595795925155e-07,5.086928716478825,2.477926699384625e-07,4.917461149389624e-07,6.633666469468835e-07,5.086928717112462,5.086928819873294
long1,-6.698048764519626e-07,-5.048151194841921e-07,-2.521042432590548e-07,76.28841191239555,2.520537805139611e-07,4.9571133331483e-07,6.741708631352594e-07,76.28841191187978,76.28841194468158
dlat1,-0.0023487997296968988,-0.0017623591257407006,-0.0008913814475617621,-0.06731672062336713,0.000892053611778465,0.001770286014991837,0.0023881199285464283,-0.06731443953126168,-0.06694450053501555
dlong1,-0.002401800154941125,-0.0018101764856552627,-0.0009040006004858159,0.15731643135978138,0.0009038196501326146,0.0017775319335809892,0.0024174557835140997,0.15731458188496272,0.15743220330405008
