,time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err
0,2453746.525,26.78137036292963,192.17743935269473,0.1880569769539875,-0.31198824781276285,0.0025373271759225784,0.0022023129404202253,-0.1536450887670071,0.1151229070332274,0.002628549393177025,0.0022792800521202403
1,2453746.554,26.781388477693785,192.177511180848,0.19243332572216332,-0.31611572115006065,0.002527728246523608,0.0022041272176376364,-0.15864657325437292,0.1144599835314768,0.0026563863428110666,0.0023014017813541418
2,2454138.287,26.92986516793511,193.23155515004015,0.11411961194909281,-0.28276429931073954,0.0019711089418413016,0.0021261244800259583,-0.5305687626204758,0.21028490108272277,0.003710130300972886,0.005634752908885827
3,2454138.304,26.929871540931753,193.23159831434148,0.11508773244486292,-0.2836832426938833,0.001966515581261475,0.0009813838515321475,-0.5290762649622138,0.20434663005555198,0.007562158493155936,0.0030058546064233114
4,2454138.351,26.92989065986702,193.2317278072924,0.12299694509607662,-0.29144900585993555,0.002083949215654942,0.0024747417557615444,-0.5212605329774078,0.20189930511299767,0.005504872576531527,0.004536112199926969
5,2454138.3680000002,26.929897032850928,193.23177097161613,0.12463755951159783,-0.2909487179413627,0.002223001861688984,0.001686884806891693,-0.5234934309910955,0.2015452208319854,0.0063929236881946645,0.004356643707924773
6,2454138.418,26.92991090632638,193.2319147124315,0.13148955969484177,-0.29736041936328106,0.0027109956304366407,0.0012102480349648393,-0.5103582799890205,0.1956146280553612,0.0037266288387421066,0.0033031150012891686
7,2454138.435,26.92991727929641,193.23195787677835,0.1348028499450038,-0.29604521639208503,0.002539519325144941,0.0026559279544760518,-0.5110916405485,0.19970776594138276,0.005227715934102961,0.004776292382761553
8,2454138.484,26.92993639816955,193.23208736985922,0.14104626101953954,-0.30290668120135444,0.0021691839729959337,0.0014224745786304812,-0.49898790517772795,0.19226742645973793,0.012845019408635703,0.007608540866003996
9,2454138.501,26.92994277112683,193.2321305342285,0.1441734477722889,-0.30419525995083724,0.002864707103171548,0.00260998739486013,-0.5031500771224273,0.19135667399012837,0.004010233102525308,0.0043877917117717356
10,2454138.551,26.929965762721352,193.23226966625086,0.14876968361221543,-0.3102814964190185,0.002218018138789631,0.0013688983850223438,-0.4980756985986545,0.18684278570058055,0.005691732781678156,0.004341697979632117
11,2454138.567,26.92997213565628,193.23231283064746,0.15397509486945182,-0.31048814981485356,0.0022085237451734286,0.0017525701966307693,-0.4953333795228332,0.1839943026596622,0.004609842721319069,0.002627867421375313
12,2454469.653,27.04993095076083,194.12583996696267,-1.0654694845953827,0.7378649841720128,0.007982695959614098,0.00406383306096781,-0.2704477657886173,0.09483869403631229,0.008037457711843178,0.005860490815284406
13,2454593.726,27.09354417401136,194.46125687320162,0.9206058660865324,-0.6117688690240914,0.004201539353036551,0.0030617558654936518,-0.691873797217113,0.3117983681640463,0.007425148748690438,0.005084312905903029
14,2454600.192,27.095788906226673,194.47874256373996,0.20016194690839484,0.02939521363838266,0.004242060833390834,0.0042566860524150514,0.1725422907654206,-0.10255235780295413,0.011100845409753509,0.00521379177655085
15,2454601.99,27.096420252455196,194.48360750403373,-0.044129227389078096,0.22098283804432717,0.0050930571660575815,0.006081919375258539,0.44920482005466056,-0.22579526564514169,0.006071011411813232,0.005264587573437855
16,2454603.788,27.097038571212764,194.48846740901234,-0.2997954838235728,0.4068754659870942,0.005496808343543376,0.002382966454778425,0.5395730240849161,-0.2539003717885809,0.004763866351463092,0.0032531728939794737
17,2454605.788,27.097734576001464,194.49388092181061,-0.5670043224441201,0.5799058419153013,0.00935033815970433,0.004755264684517403,0.27319810981794035,-0.12197369907082432,0.0060641954598843195,0.0038744442953865376
18,2455375.655,27.350222895840403,196.58191930772853,,,,,0.17667201850599668,-0.08570801548197243,0.0015894343960910615,0.0014390306594912223
