,mean,stddev
mass_1,2.43e+18,3e+16
mass_2,0.0,0.0
sma_2,27600.0,100.0
ecc_2,0.249,0.002
aop_2,301.9003610660502,1.0
inc_2,127.60540535157783,0.3
lan_2,36.52754911800274,0.6
mea_2,276.0,1.0
j2r2_1,39605.0,3960.5
c22r2_1,3960.5,396.05
j2r2_2,645.0,64.5
c22r2_2,64.5,6.45
spaop_1,301.9003610660502,1.0
spinc_1,172.60540535157782,0.3
splan_1,36.52754911800274,0.6
sprate_1,8.782792348675935e-08,8.782792348675936e-09
spaop_2,180.0,20.0
spinc_2,127.60540535157783,0.3
splan_2,36.52754911800274,0.6
sprate_2,0.0002493,2.493e-05
lat_offset,0.0002559908719204105,0.005
long_offset,-8.239396524851208e-05,0.005
