,mean,stddev
epoch,2455000.0,
period_1,1501.0,1.0
sma_2,25500.0,100.0
ecc_2,0.275,0.002
inc_2,73.4,0.6
long_epoch_2,247.2,0.5
lan_2,35.3,0.5
pomega_2,65.0,0.9
mass_tot,5.8e+17,6999999999999999.0
diam_1,90.0,
diam_2,71.0,
