,mean,stddev
mass_1,6.158131581237507e+18,3.378300E+17
mass_2,5.295919515752564e+18,6.000000E+16
mass_3,6.345371129948835e+17,6.000000E+16
sma_2,845.9681420019244,1.857200E+01
ecc_2,0.12810264121545809,1.115700E-01
aop_2,49.60828423,6.300000E+00
inc_2,77.72614777,6.000000E-01
lan_2,322.8600363,1.000000E+00
mea_2,200.5226252,1.600000E+00
sma_3,7395.977476022999,1.200000E+01
ecc_3,0.29439241681815564,9.000000E-04
aop_3,341.9230596701957,2.000000E-01
inc_3,60.574425373868415,2.000000E-01
lan_3,320.0503806439797,1.000000E-01
mea_3,281.19065078165545,3.000000E-01
j2r2_1,100.0,10.0
c22r2_1,100.0,10.0
spaop_1,100.0,10.0
spinc_1,100.0,10.0
splan_1,100.0,10.0
sprate_1,0.0004,0.00001
