,Times,X_Pos_Eris,Y_Pos_Eris,Z_Pos_Eris,X_Vel_Eris,Y_Vel_Eris,Z_Vel_Eris,semimajor_axis_Eris,eccentricity_Eris,inclination_Eris,longitude_ascending_Eris,argument_periapse_Eris,mean_anomaly_Eris,precession_Eris,obliquity_Eris,longitude_Eris,spin_orbit_angle_Eris,spin_period_Eris,Lx_Eris,Ly_Eris,Lz_Eris,E_Eris,X_Pos_Dysnomia,Y_Pos_Dysnomia,Z_Pos_Dysnomia,X_Vel_Dysnomia,Y_Vel_Dysnomia,Z_Vel_Dysnomia,semimajor_axis_Dysnomia,eccentricity_Dysnomia,inclination_Dysnomia,longitude_ascending_Dysnomia,argument_periapse_Dysnomia,mean_anomaly_Dysnomia,precession_Dysnomia,obliquity_Dysnomia,longitude_Dysnomia,spin_orbit_angle_Dysnomia,spin_period_Dysnomia,Lx_Dysnomia,Ly_Dysnomia,Lz_Dysnomia,E_Dysnomia,X_Pos_Hercules,Y_Pos_Hercules,Z_Pos_Hercules,X_Vel_Hercules,Y_Vel_Hercules,Z_Vel_Hercules,semimajor_axis_Hercules,eccentricity_Hercules,inclination_Hercules,longitude_ascending_Hercules,argument_periapse_Hercules,mean_anomaly_Hercules,precession_Hercules,obliquity_Hercules,longitude_Hercules,spin_orbit_angle_Hercules,spin_period_Hercules,Lx_Hercules,Ly_Hercules,Lz_Hercules,E_Hercules,Lx_totHercules,Ly_totHercules,Lz_totHercules
1359,1072705812.9064534,0.0,0.0,0.0,0.0,0.0,0.0,306.370586527119,0.9999955719251925,60.359386789232346,140.15161770082074,312.2158602546113,179.99698697199202,137.63099606251987,60.33075237792088,136.95926930844988,2.190616945661084,379.89025602936755,175670.06594958567,-676371.7283471149,589942.8252169412,-0.5457789771755946,-10483.79431941593,26538.55558737312,-24001.400142190178,-0.13430119750001338,0.03866565620326468,0.09906438498154796,34909.65681597817,0.05129382182814415,60.35938678923517,140.15161770082364,141.6279882167162,169.5888815885643,88.81159471392972,40.40249917805487,155.6772730647622,43.23693657927857,379.6898948337759,-136694.9607825105,775519.2196760996,-486136.83806653327,-0.264851382950951,7219.511756413034,-9324.216174111469,-14609.939264601519,-0.16271329209974417,-0.022096055168574547,-0.08560585776671013,13210.465182541046,0.42636906250904527,120.25510149747393,169.76715081884345,67.51293530573578,166.07751897910396,153.95233048611294,28.841618178419026,-14.398535393173459,91.15557113582987,348.9971046907199,7434.6171751969005,-4516.784002055926,-12507.436440344152,-0.026728256370899872,46409.72234227208,94630.70732692881,91298.55071006376
1360,1073495147.5737867,0.0,0.0,0.0,0.0,0.0,0.0,303.55472953662553,0.999995523827548,60.392961575551354,140.12590644616583,159.3619482652055,180.002012166103,138.05597370017543,60.325693257511325,-15.476331077051551,1.8003028268096126,379.918351461396,-433431.4956408981,918109.9997524059,-153119.9350624722,-0.5752966248585619,22408.779056926083,-27101.876847203268,11321.145202116575,0.09747280007720484,0.02304121473580514,-0.1410899473461833,34930.32253499014,0.04068271702842838,60.39296157555059,140.12590644616347,331.4041729623363,188.62322758467488,86.43921288877566,51.31964563246063,5.469992899683207,44.70762464655575,379.3810854296488,468394.5334369827,-774740.8617388678,196701.78694858332,-0.2660784811381708,10444.670351493696,224.94152667970047,3574.187230717929,0.2124490634405271,-0.15706171492429957,-0.21227389023044074,11846.745096130053,0.37658038152092727,121.16259683702224,172.0999596205994,61.23137722815982,53.6768134040818,153.94982846632072,28.84836115563184,-148.25620659700445,91.31941921385348,349.04250941669574,11348.178791486203,-48692.65948522119,47946.14573614762,-0.027231344865866952,46311.2165875708,94676.47852831689,91527.99762225873
1361,1074284482.2411208,0.0,0.0,0.0,0.0,0.0,0.0,308.34358362412615,0.9999955975665848,60.401169140365525,140.14956060315367,9.190085206419953,179.999012324671,138.0830069915885,60.249463054484536,-167.73768023588565,1.8018985355649257,379.94304769033397,507625.6748098069,-795673.5169448061,-240963.89904854802,-0.5538713774479331,-30336.90633311961,21465.11304737584,5211.262042298898,-0.032718277232565485,-0.08087217459362907,0.14620590951678286,34949.374758590944,0.05616785411324007,60.40116914036537,140.1495606031547,191.98798776913128,176.87417835194495,80.86214853047439,40.812698285226986,-142.3108638887557,48.388627247275515,378.938888493301,-450932.2867928029,846797.6340667394,369317.3149356607,-0.26482273535689554,-8971.957113268436,-4329.8648505314195,-10331.099450178066,-0.11405549291480621,0.1337729445643543,0.1966485584418038,12848.376552475354,0.46382341926077736,120.2724302589779,170.0192827422549,70.82860771334747,282.545141474978,153.93649520755645,28.843844268838886,77.87734681291924,91.60382706349012,349.0795364323159,-10604.990258528358,43884.64855169979,-36683.007169709774,-0.026962011799476576,46088.39775847565,95008.76567363305,91670.4087174029
1362,1075073816.9084542,0.0,0.0,0.0,0.0,0.0,0.0,302.84883069553285,0.9999955175527626,60.407836711955234,140.1525831024021,218.07229712822476,179.9993295814761,138.41213761112306,59.87545904048878,39.83480847616712,1.6005277225886676,379.96426951132884,-527117.1967695699,551843.3434363655,741781.2783684349,-0.5503446724402703,29468.499325018085,-9974.473152213352,-19763.870060819856,-0.03861898528006742,0.12013910585190221,-0.11884575855931409,34893.23487107238,0.03899086603113699,60.4078367119558,140.15258310240125,40.83284946285208,177.01780342011688,92.51093093898734,48.36933957442555,57.910442065626704,40.0064479045697,378.5083144431273,565379.741594937,-450517.5521142933,-639262.4975346667,-0.2658325703646135,8003.237853749422,-9857.254322192894,-14226.19707407913,-0.15214799787064692,-0.025468308642321073,-0.09488178797727408,12759.142276680013,0.46672173810873535,120.42053783352812,169.51131063140852,68.7920001969333,159.7128452057619,153.9458213535303,28.843516889908038,-56.018938471486855,91.73074503860323,349.12184286780314,7744.178646397855,-6193.747369974999,-10799.008321630228,-0.026901156516040338,46006.72347176502,95132.04395209716,91719.77251213796
1363,1075863151.5757878,0.0,0.0,0.0,0.0,0.0,0.0,307.7039277239764,0.999995587485624,60.38479587825382,140.12481401693657,65.95458857168201,180.00244485946894,138.90367115908617,59.881627572258296,-112.68175996376246,1.172409634396437,379.9891569512102,330987.29717172135,-68429.67537680359,-895955.0955788414,-0.5707350424628863,-22545.282649500296,-3187.2163583417714,29731.320156405294,0.09829421805252009,-0.12616156030076114,0.05946846355909447,34949.75187527116,0.05436575904351943,60.38479587825313,140.1248140169369,238.77506171052497,187.99080872733862,77.64867298937712,45.42265524552227,-83.10547335053339,50.7272598074815,378.0359893111736,-295916.60506332055,212585.3819029129,937451.37771299,-0.26532070156252696,10133.088406626193,28.990611439279746,3624.120486600892,0.22315608206874868,-0.1674666694847598,-0.20466541379012482,13481.115920416687,0.4725376364868852,121.19866701182804,170.02890343923065,65.02448166645799,41.8379889577809,153.93074562747003,28.848898864595284,170.11101652644524,91.94089697867125,349.0214670034821,10615.550344524707,-48654.832349345896,50606.68258733218,-0.027028056136862204,45686.242452925515,95500.8741767634,92102.96472148082
1364,1076652486.2431216,0.0,0.0,0.0,0.0,0.0,0.0,304.7108049001666,0.9999955436350823,60.40197605725151,140.1358106661118,276.53130335156595,179.9970683780329,138.93498236819272,59.808162854711256,95.02649956379939,1.1984840517485646,379.9910113057239,-129146.91019471304,-316282.6741258939,944797.2151233045,-0.5579624743616788,8426.32447474834,16671.537693992723,-32036.01046923388,-0.13727234663556562,0.1029637093307208,0.015766720214974307,34922.031459909034,0.045284122762717,60.40197605725375,140.13581066611206,106.94811384672956,168.61264597652325,93.51582647132378,42.70357187516807,114.47372611106232,39.825948356223996,377.65107748939243,183912.53500210217,370659.79567972565,-815661.4319048515,-0.26516836372677016,-8142.125545925635,-4892.210669158958,-11423.420837352474,-0.1251706790663989,0.13327389612762267,0.17675873308625478,12700.092909723713,0.45113506648546725,121.18631609209248,169.44278448868013,72.6058718946652,274.6679954340007,153.9239717277209,28.84542139519555,36.25980171499947,91.75589624887657,348.9665112269693,-9144.889334232941,41297.61042502803,-37116.20120775324,-0.027045051067234465,45620.73547315619,95674.73197885977,92019.58201069981
1365,1077441820.9104552,0.0,0.0,0.0,0.0,0.0,0.0,304.9753879497376,0.9999955563520327,60.39918988345367,140.1286792604871,123.34810725390028,180.00313453750948,139.29879798955167,59.457749770093656,-57.42166468939812,1.184088676129411,379.98662753037746,-157453.39092364354,664730.4560698799,-595912.3941621581,-0.5463852745126171,5841.6886631411035,-24834.371730265557,26958.617737064968,0.13995780842675218,-0.05520425818500813,-0.08335471357289748,34861.684382844054,0.04806598508983304,60.39918988345032,140.12867926048452,292.8691878550347,191.51733864331723,81.4546423087165,49.94467581475545,-27.900455218762097,48.40321981426236,377.29694893982554,194208.59913282914,-561212.6686986225,699104.7792078815,-0.26592009830861707,8486.398895228165,-10360.036188773054,-13856.894304657893,-0.14367240379980067,-0.025666455689142883,-0.1004226366900575,13424.836778636449,0.45496517184565516,119.07685907491417,167.78664587832333,66.72047359477014,158.92337177477907,153.92683217895086,28.849941625136566,-97.59640429208339,91.98126542636065,349.0979647696808,8614.33635680246,-7600.842701084981,-10795.447770360382,-0.026454709101517704,45369.54456598806,95916.94467017245,92396.93727536303
1366,1078231155.5777886,0.0,0.0,0.0,0.0,0.0,0.0,307.4420760388726,0.9999955992421503,60.376330766048596,140.17287916888733,334.06727695053837,179.99770080815418,139.80098076859196,59.47338718837976,150.07009612011126,0.958580630173164,379.92219887047463,341947.9481917746,-759413.156735905,216813.88162475187,-0.5745686286272617,-20661.639598406036,27762.999024187055,-14224.142794952495,-0.10642442226892891,-0.009594577861745354,0.1328298381881028,34836.503557919044,0.056819609170866196,60.376330766048696,140.17287916888756,160.5155748127019,172.78828176609818,86.87455090384793,38.927661503197115,177.69874972858244,44.68549468283729,376.890887761155,-305849.5372266192,903499.8390555825,-179492.55752618608,-0.26477203944112027,9666.336561455333,-54.06300402924535,3968.216231326296,0.23937538023178762,-0.17854059181183674,-0.191419586691637,14735.265488081428,0.4957924252228302,118.42800298553813,163.95778167342124,66.55660618293945,33.91305448805345,153.91546910131729,28.85159473456802,128.56687445756435,92.28810798922463,349.0000187151204,8981.57661127214,-47676.393022450895,55156.71469767735,-0.026122162524795253,45079.98757642754,96410.28929722666,92478.03879624314
1367,1079020490.2451224,0.0,0.0,0.0,0.0,0.0,0.0,302.8083377170502,0.9999955255474101,60.37835804826838,140.16136036198796,181.64857569588668,180.00139038315595,139.88718015921887,59.441958333428744,-2.1999264231559597,0.9659817781213986,379.87601013752897,-519210.7896440152,810169.8066767479,285647.304486017,-0.5599317989770882,28621.494079003693,-23196.777804461104,-921.6607306545193,0.050449268802235284,0.06934244196576717,-0.150487335430972,34831.50935361231,0.04084546280657564,60.37835804826846,140.16136036198546,356.1821063251867,185.92633237020218,88.96451026474136,50.43548522794558,25.919544446538744,42.71177666880666,376.53000420446807,571725.9574306722,-753160.5630676919,-154311.1100267268,-0.26597555469218664,-7233.960494451399,-5579.487032405537,-12129.429247196895,-0.13354248546380637,0.1345241283896321,0.15923480919657387,13432.198895929962,0.4429883858595209,120.1112291103245,164.90219545011135,64.87714676789462,276.1645024280946,153.9127507408015,28.851446770335773,-5.256677833669014,92.50265619769873,348.9758198481076,-7496.296112960978,39420.366378472696,-38700.718290602184,-0.026469999841149745,45018.87167369608,96429.60998752869,92635.47616868801
1368,1079809824.9124565,0.0,0.0,0.0,0.0,0.0,0.0,308.2946349635438,0.9999956067980457,60.37198527957232,140.17774736352283,30.794957500821504,180.00035453026672,140.27485807416173,59.09566357220866,-154.59356279618746,1.2790744065030257,379.7845022460368,488514.5827092779,-564996.2050633344,-561480.5611688895,-0.5410202508869018,-30835.592235191085,13346.959043626965,16697.727192642153,0.020769401902057488,-0.1113060160975754,0.1269258138046694,34878.23113870025,0.05808847950582881,60.371985279571824,140.1777473635238,209.82520296144008,181.08752013297803,78.55061567650424,41.049372519922194,-116.83986828132055,49.90218261161561,376.06303747517063,-453471.90873199905,671913.6913485394,663979.8964596357,-0.2650513263162595,9060.68908070412,-11024.874166183494,-13491.759434507287,-0.13288945876734085,-0.02708540641171659,-0.10519516527615562,13925.040011808842,0.4665151971038498,120.2213814530161,163.29222158499198,61.4789065721259,157.40434836674117,153.91315260662466,28.8548403322006,-139.08477952747864,92.39734924403159,348.98670714029356,9585.274938682747,-9938.431137801324,-9562.00759162853,-0.02631186565702314,44627.94891596162,96979.05514740368,92937.32769911765
