,Times,X_Pos_Sun,Y_Pos_Sun,Z_Pos_Sun,X_Vel_Sun,Y_Vel_Sun,Z_Vel_Sun,X_Pos_Prim,Y_Pos_Prim,Z_Pos_Prim,X_Vel_Prim,Y_Vel_Prim,Z_Vel_Prim,semimajor_axis_Prim,eccentricity_Prim,inclination_Prim,longitude_ascending_Prim,argument_periapse_Prim,mean_anomaly_Prim,precession_Prim,obliquity_Prim,longitude_Prim,spin_period_Prim,X_Pos_Secondary,Y_Pos_Secondary,Z_Pos_Secondary,X_Vel_Secondary,Y_Vel_Secondary,Z_Vel_Secondary,semimajor_axis_Secondary,eccentricity_Secondary,inclination_Secondary,longitude_ascending_Secondary,argument_periapse_Secondary,mean_anomaly_Secondary,precession_Secondary,obliquity_Secondary,longitude_Secondary,spin_period_Secondary
0,0.0,9425821584.263885,1193407102.6822379,14616119.373342944,-0.4685819020609038,3.8002727888729133,0.05100984785932237,0.0,0.0,0.0,0.0,0.0,0.0,3277.6908959463894,0.948006399025343,0.9603510000000001,0.7420960000000001,9.781215827512776,178.67593232824697,179.0,0.9999999999998825,1.0,1296000.0,18219.664610918204,3347.527549022734,52.15380573038434,-0.00023700114637278556,0.001607008152204679,2.6987242531642343e-05,7392.827788268974,0.6426977958112033,0.9603510000000003,0.7420960000000013,190.79623296511522,176.0346503014319,179.0,0.9999999999998825,1.0,1296000.0
1,5257542.923820637,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
2,10515085.847641274,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
3,15772628.771461913,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
4,21030171.69528255,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
5,26287714.619103186,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
6,31545257.542923827,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
7,36802800.46674446,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
8,42060343.3905651,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
9,47317886.31438573,,,,,,,,,,,,,,,90.0,,0.0,,,,,,,,,,,,,,90.0,,0.0,,,,,
