,Times,X_Pos_Sun,Y_Pos_Sun,Z_Pos_Sun,X_Vel_Sun,Y_Vel_Sun,Z_Vel_Sun,X_Pos_Prim,Y_Pos_Prim,Z_Pos_Prim,X_Vel_Prim,Y_Vel_Prim,Z_Vel_Prim,semimajor_axis_Prim,eccentricity_Prim,inclination_Prim,longitude_ascending_Prim,argument_periapse_Prim,mean_anomaly_Prim,precession_Prim,obliquity_Prim,longitude_Prim,spin_period_Prim,X_Pos_Secondary,Y_Pos_Secondary,Z_Pos_Secondary,X_Vel_Secondary,Y_Vel_Secondary,Z_Vel_Secondary,semimajor_axis_Secondary,eccentricity_Secondary,inclination_Secondary,longitude_ascending_Secondary,argument_periapse_Secondary,mean_anomaly_Secondary,precession_Secondary,obliquity_Secondary,longitude_Secondary,spin_period_Secondary
0,0.0,9425821584.263885,1193407102.6822379,14616119.373342944,-0.4685819020609038,3.8002727888729133,0.05100984785932237,0.0,0.0,0.0,0.0,0.0,0.0,3277.6908959463894,0.948006399025343,0.9603510000000001,0.7420960000000001,9.781215827512776,178.67593232824697,0.0,0.0,0.0,inf,18219.664610918204,3347.527549022734,52.15380573038434,-0.00023700114637278556,0.001607008152204679,2.6987242531642343e-05,7392.827788268974,0.6426977958112033,0.9603510000000003,0.7420960000000013,190.79623296511522,176.0346503014319,0.0,0.0,0.0,inf
1,5257542.923820637,9423337352.750023,1213384464.6950245,14884271.66177702,-0.4764259219709125,3.7992171114521325,0.05099660030670139,0.0,0.0,0.0,0.0,0.0,0.0,3398.770342249984,0.9499082988841557,0.9603504908962376,0.7420833793428571,35.67639619947702,175.2783935995647,0.0,0.0,0.0,inf,15543.412036564767,11303.922813837586,186.09552480677465,-0.0007579284684838747,0.0013835268620945233,2.3354453625062115e-05,7634.530726213412,0.6570014929365651,0.9603504908962376,0.7420833793428601,219.1495337168188,165.97760642352029,0.0,0.0,0.0,inf
2,10515085.847641274,9420812037.577026,1233356075.5954552,15152351.043790093,-0.48420695340354303,3.798092433263724,0.0509822371410219,0.0,0.0,0.0,0.0,0.0,0.0,3630.43343424787,0.9531848293678492,0.960350150640818,0.7420618354302394,58.89292142060729,172.79189855963253,0.0,0.0,0.0,inf,10566.020077779991,17626.353974489622,293.1491580167668,-0.001102485773448689,0.0010069095057338377,1.711659516509769e-05,8091.503109318261,0.6810031566754229,0.9603501506408182,0.7420618354302438,243.83059223711376,158.87854770107523,0.0,0.0,0.0,inf
3,15772628.771461913,9418245992.770824,1253321684.500363,15420353.524456479,-0.49192144426906564,3.7969395923203564,0.05096744208008868,0.0,0.0,0.0,0.0,0.0,0.0,3925.254061419748,0.9567819543160775,0.9603500124230304,0.7420416935519873,78.82301647688152,171.36988121907518,0.0,0.0,0.0,inf,4280.805063066131,21834.30074777073,365.0448617164585,-0.0012604760197976045,0.0005956273286601135,1.0257205542222504e-05,8662.889058195387,0.7065050046058642,0.9603500124230306,0.7420416935519898,264.28609372372387,155.04770352189865,0.0,0.0,0.0,inf
4,21030171.69528255,9415639530.328367,1273281215.5009902,15688278.05071667,-0.49958516332449293,3.7957828642978164,0.05095262542663361,0.0,0.0,0.0,0.0,0.0,0.0,4241.5312380402365,0.9600722998009255,0.9603499977764158,0.7420322508891404,95.74275144800468,170.86216244169265,0.0,0.0,0.0,inf,-2441.432739436277,23954.827755261358,402.047257534586,-0.0012777596581164154,0.00022009729066814563,3.96653224025079e-06,9263.560156833772,0.7291312824764892,0.960349997776416,0.7420322508891648,281.1169317074673,153.87070365745626,0.0,0.0,0.0,inf
5,26287714.619103186,9412992870.283424,1293234675.8170784,15956124.98274384,-0.5072153832040563,3.79463081408057,0.050937934473596375,0.0,0.0,0.0,0.0,0.0,0.0,4550.4350413784305,0.9628347830363766,0.9603499679149953,0.7420385645301787,110.23541903088088,171.04075738004855,0.0,0.0,0.0,inf,-8997.28776534315,24256.10114773446,408.5202315020132,-0.0012045604410060376,-9.484725811015945e-05,-1.328278260406685e-06,9838.32038286987,0.7476565914013314,0.960349967914995,0.7420385645302475,295.1812821360596,154.59758433028605,0.0,0.0,0.0,inf
6,31545257.542923827,9410306153.452642,1313182093.5796943,16223895.048323406,-0.5148246611476086,3.7934839936252267,0.050923381181425816,0.0,0.0,0.0,0.0,0.0,0.0,4834.257631686191,0.9650550652533176,0.960349776795354,0.7420610291755085,122.87694085314739,171.7062704520374,0.0,0.0,0.0,inf,-15013.767717962037,23066.870017523383,389.8931487442753,-0.001077420815769073,-0.0003476219813858929,-5.592737316379917e-06,10356.359112277645,0.7622567757764418,0.960349776795353,0.7420610291755798,307.2222677677374,156.63155660695872,0.0,0.0,0.0,inf
7,36802800.46674446,9407579467.475405,1333123490.9042497,16491588.885862304,-0.5224208800691321,3.7923401487538584,0.05090892946046979,0.0,0.0,0.0,0.0,0.0,0.0,5082.750259743317,0.9667909509784647,0.9603493057133853,0.7420963568230186,134.1406980694305,172.70996925690903,0.0,0.0,0.0,inf,-20272.74091515597,20698.33890395728,351.3349191772602,-0.0009193210797375992,-0.0005447845565277453,-8.931772827710586e-06,10802.232945766586,0.7735022941353417,0.9603493057133851,0.7420963568230293,317.80335027814766,159.55311135206526,0.0,0.0,0.0,inf
8,42060343.3905651,9404812867.659023,1353058876.2218378,16759206.911323436,-0.5300086989447957,3.7911965544132955,0.05089453462821089,0.0,0.0,0.0,0.0,0.0,0.0,5290.181720644893,0.9681122822984066,0.9603484802803297,0.742138926792089,144.39465851715508,173.94636584170263,0.0,0.0,0.0,inf,-24650.4558691883,17421.91638795435,297.3679003163413,-0.0007438875379973536,-0.0006942591486244331,-1.1475247936928198e-05,11169.078964859686,0.7819668064326518,0.9603484802803292,0.7421389267919948,327.3384433937055,163.07633474078,0.0,0.0,0.0,inf
9,47317886.31438573,9402006390.461603,1372988244.3912184,17026749.317173447,-0.5375907997638742,3.790050841048683,0.0508801575312051,0.0,0.0,0.0,0.0,0.0,0.0,5453.434766779489,0.9690797740109225,0.9603472755910749,0.7421820554189557,153.92363721809795,175.3408847366644,0.0,0.0,0.0,inf,-28078.42190590361,13469.538485188474,231.8648241386768,-0.0005590104082365405,-0.0008029387684796736,-1.3336987606963355e-05,11454.446285870494,0.7881138805349945,0.960347275591077,0.7421820554190734,336.1347786162981,167.00451169513022,0.0,0.0,0.0,inf
10,52575429.23820637,9399160061.55984,1392911579.2764642,17294216.11383436,-0.5451687075972882,3.788901206224701,0.050865768270195594,0.0,0.0,0.0,0.0,0.0,0.0,5570.867468057435,0.9697396315205843,0.9603457143610385,0.7422190541828652,162.95317624416637,176.83951901202948,0.0,0.0,0.0,inf,-30520.000744943274,9041.145923505363,158.16904429635088,-0.0003692231682179692,-0.000876071274205522,-1.4603970566304811e-05,11657.931451754994,0.7922822285558037,0.9603457143610383,0.74221905418293,344.42802808100686,171.19776673508446,0.0,0.0,0.0,inf
11,57832972.16202701,9396273900.506018,1412828856.7789452,17561607.179490704,-0.5527432910660444,3.787746416744018,0.05085134634426629,0.0,0.0,0.0,0.0,0.0,0.0,5641.655972563978,0.9701235141296569,0.9603438609619939,0.7422440686390616,171.66930847150786,178.40129039483324,0.0,0.0,0.0,inf,-31956.89450347144,4313.479602869484,79.23902642725352,-0.00017715461495095008,-0.0009172532245299188,-1.5335911058985498e-05,11779.887123450857,0.7946982305620135,0.9603438609619936,0.7422440686389483,352.40800539183886,175.551218449904,0.0,0.0,0.0,inf
12,63090515.08584765,9393347923.31148,1432740047.7078218,17828922.30764042,-0.5603150686781103,3.7865857602590585,0.05083687990627971,0.0,0.0,0.0,0.0,0.0,0.0,5665.428918340848,0.9702497677634316,0.9603418129325434,0.7422527237369972,180.23411455906574,179.9928408920742,0.0,0.0,0.0,inf,-32381.649695884436,-551.5924305701046,-2.213708100261101,1.5582329856822508e-05,-0.0009285702722995216,-1.556741911597773e-05,11820.741997813868,0.7954911420224297,0.9603418129325366,0.7422527237368071,0.2374116815351582,179.98008359427698,0.0,0.0,0.0,inf
13,68348058.00966829,9390382143.726704,1452645120.399695,18096161.250723775,-0.5678844102867391,3.7854190033616755,0.05082236510411983,0.0,0.0,0.0,0.0,0.0,0.0,5642.084022828245,0.9701244699862097,0.9603396907171677,0.7422425999266573,188.79837613947157,181.5843354375425,0.0,0.0,0.0,inf,-31793.94300300069,-5399.475867921254,-83.59801757463083,0.00020780610915339948,-0.0009107187629705197,-1.530991187168233e-05,11780.67525429356,0.7947034560013072,0.9603396907171688,0.7422425999264258,8.066338767178474,184.4087755046842,0.0,0.0,0.0,inf
