,time,Lat_Prim,Long_Prim,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err
0,2453746.525,26.781370362929632,192.17743935269473,0.9431608793876153,-0.7972421207777473,0.0025373271759225784,0.0022023129404202253
1,2453746.554,26.78138847769379,192.177511180848,0.9478885555004235,-0.7958521097532737,0.002527728246523608,0.0022041272176376364
2,2454138.287,26.92986516793511,193.23155515004012,0.636686033483329,-0.6411232306781466,0.0019711089418413016,0.0021261244800259587
3,2454138.304,26.929871540931753,193.23159831434148,0.6398113002500356,-0.6405363251731628,0.001966515581261475,0.0009813838515321477
4,2454138.351,26.92989065986702,193.2317278072924,0.642663822229492,-0.6432877136621226,0.002083949215654942,0.0024747417557615444
5,2454138.368,26.929897032850928,193.23177097161613,0.6458322532950577,-0.6456413399284902,0.002223001861688984,0.001686884806891693
6,2454138.418,26.92991090632638,193.2319147124315,0.6559276708088033,-0.6491148825274374,0.002710995630436641,0.0012102480349648393
7,2454138.435,26.92991727929641,193.23195787677838,0.6563242952296081,-0.6495412460018835,0.002539519325144941,0.0026559279544760518
8,2454138.484,26.929936398169552,193.2320873698592,0.6605665215560634,-0.6539320546505633,0.0021691839729959337,0.0014224745786304812
9,2454138.501,26.92994277112683,193.2321305342285,0.6618017980636558,-0.6534892032009708,0.002864707103171548,0.00260998739486013
10,2454138.551,26.929965762721352,193.2322696662509,0.668489506747284,-0.6538119404122296,0.002218018138789631,0.0013688983850223438
11,2454138.567,26.929972135656282,193.23231283064743,0.6692289091655363,-0.6545970178336088,0.002208523745173429,0.0017525701966307693
12,2454469.653,27.049930950760828,194.1258399669627,-1.0389680355275763,0.6582869493770165,0.007982695959614098,0.00406383306096781
13,2454593.726,27.09354417401136,194.4612568732016,0.9201085864320482,-0.6107066466480378,0.004201539353036551,0.0030617558654936518
14,2454600.192,27.095788906226677,194.47874256374,0.20186279988905811,0.03265581624860028,0.004242060833390834,0.004256686052415051
15,2454601.99,27.0964202524552,194.48360750403373,-0.047892994401490654,0.22782382985852112,0.005093057166057582,0.006081919375258539
16,2454603.788,27.097038571212764,194.48846740901237,-0.29727212821630106,0.40987682542917303,0.005496808343543376,0.002382966454778425
17,2454605.788,27.097734576001464,194.49388092181061,-0.5489319656993007,0.5870473125945775,0.00935033815970433,0.004755264684517403
18,2455375.655,27.350222895840407,196.58191930772853,,,,
19,2455375.661,27.35023052170529,196.58193883482483,0.7424450600174615,-0.7080826743856686,0.0015342700485100555,0.0013537918062696945
20,2455375.673,27.350232805043877,196.5819726574961,,,,
21,2455375.719,27.35024728094781,196.58209365262417,,,,
22,2455375.727,27.350245751335763,196.58211771175564,0.7509888646080284,-0.7077926820697746,0.0016108600583181962,0.0011006910662617775
23,2455375.737,27.350244221744408,196.58214177088303,,,,
24,2455375.786,27.350262510530964,196.58227252962442,,,,
25,2455375.793,27.350260980898646,196.58229658876644,0.757516633804306,-0.7101359166422897,0.0018691715624256226,0.001253583290321751
26,2455375.859,27.350285365890308,196.58247093384037,0.7579948051114371,-0.7164956878691265,0.0017679473648367977,0.0011707976030886885
27,2455375.9280000003,27.350304408238287,196.58265957459113,0.7699619857458877,-0.7161333882333879,0.001733387553511407,0.0013030847724777395
28,2455375.993,27.35032879308671,196.5828339198481,0.7706652455474368,-0.7220632296058559,0.0018541592784049,0.0012280364299625465
29,2455376.058,27.35034402236907,196.5830127971976,0.7824370872466392,-0.7243505796548215,0.0013551193720798822,0.0013833445921057682
30,2457155.338,27.80872531507428,201.4792586911291,0.7156632865090584,-0.7333288484946067,0.005665581314365771,0.003928389310275015
31,2457203.995,27.8188582596343,201.6149674519019,0.6202441822382304,-0.6852663290258176,0.0019948377911854407,0.0017100198139831436
