,mean,stddev
mass_1,5.245074243600827e+18,5.2450742436008275e+17
mass_2,1.2549257563991726e+18,1.2549257563991726e+17
sma_2,22400.0,400.0
ecc_2,0.71,0.02
aop_2,196.82134425587793,1.0
inc_2,33.974808391568224,2.0
lan_2,239.2160930141019,2.0
mea_2,204.0,3.0
j2r2_1,1490.0,149.0
c22r2_1,149.0,14.9
j2r2_2,925.0,92.5
c22r2_2,92.5,9.25
spaop_1,196.82134425587793,1.0
spinc_1,78.97480839156822,2.0
splan_1,239.2160930141019,2.0
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,33.974808391568224,2.0
splan_2,239.2160930141019,2.0
sprate_2,1.9646163407391273e-07,1.9646163407391274e-08
