,mean,stddev
epoch,2457000.0,
period_1,371.1,0.2
sma_2,22400,400
ecc_2,0.71,0.02
inc_2,29,2
long_epoch_2,274,3
lan_2,278,2
pomega_2,70,1
mass_tot,6.5,0.4
diam_1,298,
diam_2,185,
