,mean,stddev
epoch,2452000.0,
period_1,6590.0,10.0
sma_2,103500.0,300.0
ecc_2,0.458,0.002
inc_2,135.0,0.2
long_epoch_2,243.5,0.5
lan_2,217.4,0.2
pomega_2,79.0,0.3
mass_tot,2.0299999999999997e+18,2e+16
diam_1,128.0,
diam_2,126.0,
