,time,Lat_Prim,Long_Prim,DeltaLat_Namaka,DeltaLong_Namaka,DeltaLat_Namaka_err,DeltaLong_Namaka_err,DeltaLat_Hiiaka,DeltaLong_Hiiaka,DeltaLat_Hiiaka_err,DeltaLong_Hiiaka_err
0,2453746.2291826997,26.78137035272642,192.1774393570448,-0.1536450887286378,0.11512290704357486,0.0026647268801434994,0.002800519769926379,0.18805697687724887,-0.31198824765811956,0.0027294682924692876,0.0027640126071669354
1,2453746.258182719,26.781392356356548,192.17752078504736,-0.15864657508330993,0.11445998099076801,0.0026614597024845516,0.002826883471068061,0.19243333086365055,-0.31611571774783154,0.002432636927137402,0.0027743984177346047
2,2454137.9914531745,26.929865157418174,193.23155515398648,-0.5305687624286293,0.21028490101110747,0.004169835649609688,0.006774738525186916,0.1141196119107235,-0.28276429915465956,0.0020246621779290673,0.002353008023661038
3,2454138.008453187,26.92987540317604,193.23160795714088,-0.5290762684026618,0.20434662068637965,0.006681177682988938,0.003879283114079171,0.11508773747124224,-0.28368324036886594,0.0018920467112021485,0.001321985155385672
4,2454138.055453221,26.929890649350035,193.2317278112387,-0.521260532798351,0.20189930485815477,0.005734774306555054,0.00576195229520786,0.12299694505770731,-0.2914490058871113,0.002191896467221463,0.0030440829266633134
5,2454138.0724532334,26.929900895092413,193.23178061442195,-0.5234934343292252,0.20154521137629294,0.006119067681532146,0.005364461556666656,0.12463756471703391,-0.2909487156412192,0.0020621734964370877,0.0020982929326248075
6,2454138.122453269,26.929910895809343,193.23191471637767,-0.5103582797843842,0.19561462798237825,0.003807093157813516,0.004038560608852196,0.1314895596436827,-0.29736041920856243,0.002626359586600871,0.0015459743564488519
7,2454138.1394532816,26.92991726877936,193.23195788072454,-0.511091640382233,0.19970776586878153,0.005272142511726377,0.006179453289985149,0.13480284988105495,-0.2960452162372438,0.002653716361842226,0.0032462706906901005
8,2454138.188453317,26.929936387652457,193.23208737380534,-0.49898790497309164,0.19226742638644304,0.012562172209665627,0.009217058642561985,0.14104626098117024,-0.3029066810471532,0.0021348781181118534,0.0017566011090338531
9,2454138.2054533293,26.929946633362505,193.23214017704743,-0.5031500803710287,0.19135666488331715,0.004111617386675452,0.0053280519867124065,0.14417345309283291,-0.30419525728831137,0.0028030773394779264,0.003323788450149689
10,2454138.2554533654,26.929965752204193,193.23226967019696,-0.49807569838122845,0.18684278553555708,0.005437493556726439,0.005423266896012791,0.1487696836250052,-0.31028149644795083,0.0022446970696443566,0.0017844582499610456
11,2454138.2714533764,26.929972125139113,193.2323128345935,-0.49533337933098665,0.18399430258559607,0.004449817186051018,0.003364575470835982,0.15397509483108252,-0.3104881497525824,0.0022088788859164752,0.0021942874297564852
12,2454469.357700658,27.04993479804031,194.12584964261455,-0.2704477675663952,0.09483868877979507,0.007524320002218313,0.007288495656133182,-1.0654694982420665,0.7378649635200937,0.007241952514198158,0.005280226370189073
13,2454593.43079733,27.093544163115155,194.46125687665133,-0.6918737969613176,0.3117983681032911,0.007309942797776449,0.006800627646677178,0.9206058657412086,-0.6117688687192498,0.0042362953244047845,0.003862877591560378
14,2454599.896802424,27.09579274733959,194.47875225237524,0.17254229270946553,-0.10255235428541641,0.010668333940136254,0.007318158942581864,0.20016194629448592,0.02939521754890024,0.004153840626144563,0.005467111738147086
15,2454601.694803842,27.096420241551964,194.48360750747415,0.4492048199011833,-0.2257952654849506,0.006457341675366364,0.006141568626908455,-0.04412922733791902,0.22098283797475538,0.005123225120475537,0.007019362013971837
16,2454603.49280526,27.097042412153666,194.48847709800552,0.5395730288427103,-0.25390036116690584,0.004329961002441396,0.004022685591919001,-0.2997954916381218,0.406875460046858,0.0053746885192410025,0.0033933502814433372
17,2454605.492806837,27.09773841684658,194.49389061100302,0.2731981120945193,-0.12197369370294943,0.005749346540787121,0.004978575518075754,-0.5670043336095887,0.5799058305864543,0.009341831231162097,0.006561900803478322
