,time,Lat_Prim,Long_Prim,DeltaLat_Sawiskera,DeltaLong_Sawiskera,DeltaLat_Sawiskera_err,DeltaLong_Sawiskera_err
0,2452193.280063631,-20.446673090350437,14.89502765569832,-0.4670948398370456,0.3859465171771584,0.005115899427730608,0.005211260142784949
1,2452194.318403402,-20.44942418386679,14.893075740807792,-0.46113155283364904,0.3961205325910467,0.007975007086569095,0.008569732032451666
2,2452214.2724289903,-20.482738265486333,14.869804201423795,-0.442775397441153,0.4892813570719361,0.02409376651629039,0.022673589712185912
3,2452215.2582687717,-20.483367404495258,14.869393550433593,-0.4229227537777547,0.5195699188193894,0.027154463815097687,0.024201832878448168
4,2452216.2538985517,-20.48392308541158,14.869043734113525,-0.4300348116260011,0.5135771344943129,0.037816619631126105,0.04111588563562727
5,2452217.278048325,-20.48437621002599,14.868763567216988,-0.38166254304172753,0.5382687400452479,0.032078372786943546,0.02463186140228392
6,2452468.5210818583,-19.660818692530317,15.446204197385786,0.7596747035080398,-0.0175116437309267,0.02719455879473405,0.025658028166028562
7,2452473.530040712,-19.681126798159482,15.43143168772689,0.7787687809695854,-0.04236213155580833,0.05512564606072708,0.06823825959748303
8,2452493.430416153,-19.77430335830062,15.364122302960142,0.9167614140977776,-0.07532148842329062,0.12387819485540832,0.1460686016835684
9,2452525.4804287897,-19.938578677289218,15.246425970791435,0.8629589416045746,-0.3462647934182899,0.09190249737997877,0.10174416851137608
10,2452935.3133915486,-19.719089954986252,15.390938888563063,-0.4799751598412172,-0.21773240482632447,0.005244502811793736,0.005828354439259662
11,2453150.6063481015,-18.80091395840442,16.027998928979773,0.25048938223477535,0.5781758749701484,0.006750654297031034,0.007190077702202371
12,2453261.375660006,-19.191046975376878,15.748893202069274,0.6952913192904475,0.15065319380554365,0.006234319660659602,0.007241538344224835
13,2453562.484962114,-18.47855756905982,16.232982502282002,0.3488327733805363,-0.9401748346396585,0.007981712701005193,0.008067698026986902
14,2455177.4565930017,-17.3627662048851,16.945921184021177,0.4967558240466019,-0.9038531661895074,0.005741360751487198,0.007389024454387716
15,2455411.664346991,-16.53996058156268,17.476937314822592,-0.46180935446926696,-0.19530069912752382,0.0030534780397971284,0.0030036581346411166
16,2455483.569943707,-16.918711553666768,17.226491951369756,-0.48778843164996033,0.30115646144623953,0.015465955657758474,0.007442336081314785
17,2455516.0241578524,-16.991509248175433,17.180560068051307,-0.4166706060118486,0.47642895116039874,0.009403601130079646,0.008332078977774278
