,-3sigma,-2sigma,-1sigma,median,1sigma,2sigma,3sigma,mean,best fit
mass_1,-0.5322548412425805,-0.5053321051540747,-0.35678924137976553,1.5476508019515682,0.3353418327129043,0.46806070064563476,0.5025779646995527,1.540288449820565,1.3648656049602819
mass_2,-0.4828568646744198,-0.4646783851921436,-0.33497902644706173,0.48604147979001777,0.35530076494841734,0.5045421113784535,0.5309389556307512,0.4932945344295781,0.6646045321041173
sma_2,-828.6924579424958,-620.9438731858099,-310.85449017777864,103661.59831618695,316.6174620528327,635.0957041396177,851.2483832371945,103664.6549399171,103610.26421306332
ecc_2,-0.003993217044478803,-0.003010234278079893,-0.0014811868406376383,0.45925926530789724,0.0014793749669828604,0.0029583754001788476,0.003991426515957186,0.4592547769485971,0.4592713270658946
aop_2,-0.6640426172044727,-0.4972772355498307,-0.2443696619521063,251.31859202431062,0.24375995761496938,0.503195824662555,0.6770607717622852,251.31819082779396,251.2900481671236
inc_2,-0.44813200949224097,-0.3360362091388822,-0.16481787433585282,150.78975634254647,0.17048680599131671,0.3462517479620999,0.4642347383973515,150.79208549230327,150.7532046105982
lan_2,-0.7802883403885517,-0.5816781179252928,-0.2884002597849644,241.52049893073405,0.2988690332348938,0.5922271869314102,0.7879739378043382,241.5232773919114,241.50010677875963
mea_2,-0.6947892984149746,-0.5178589762242609,-0.258743842458216,164.67984042800867,0.267413822245544,0.535572999311853,0.713679486873616,164.68275123106068,164.69340943614384
j2r2_1,-7.463626658331061,-7.187373669232079,-5.114681375547332,7.516006298474517,5.093587721640944,7.151875530601844,7.435386834413427,7.511188194992349,4.482451604746937
spinc_1,-82.67619094531507,-72.72183084844715,-43.5252701848508,89.5414321711648,43.167374368799486,72.8976963377534,83.3746447108034,89.53202248166578,158.2881571667617
splan_1,-178.39905734343418,-171.63104632192255,-122.8150068412414,179.74109808606968,122.3555247067803,171.9499732844976,178.98012297937518,179.48326959745913,357.5128239077186
period_2,-28.368702387113444,-21.226179640218106,-10.577620717728678,6588.5550555119125,10.958565717518468,22.020521202039163,29.38935410844624,6588.689635697604,6590.006817649257
sat-spin inc_2,-83.02602528049727,-72.58842762288053,-43.12637690840003,90.23781805695504,43.23792268765726,72.97957877544988,82.28711994390227,90.29631218303969,42.99988586104999
