,mean,stddev
mass_1,3.09e+18,3e+16
mass_2,0.0,0.0
sma_2,4990.0,20.0
ecc_2,0.489,0.004
aop_2,12.318431532378524,0.9
inc_2,131.64930296297786,0.6
lan_2,89.6530742256127,0.8
mea_2,353.3,1.0
j2r2_1,27380.0,2738.0
c22r2_1,2738.0,273.8
j2r2_2,715.0,71.5
c22r2_2,71.5,7.15
spaop_1,12.318431532378524,0.9
spinc_1,131.64930296297786,0.6
splan_1,89.6530742256127,0.8
sprate_1,1.2883133953698108e-06,1.2883133953698107e-07
spaop_2,180.0,20.0
spinc_2,176.64930296297786,0.6
splan_2,89.6530742256127,0.8
sprate_2,0.0002493,2.493e-05
lat_offset,-6.0779962454229516e-05,0.005
long_offset,-0.00024865610183479574,0.005
