,mean,stddev
mass_1,2.1107692307692308e+18,3e+16
mass_2,1.3292307692307692e+18,0
sma_2,4530,50
ecc_2,0.47,0.01
aop_2,139.07885342906073,1.2
inc_2,49.92804382399654,0.6
lan_2,88.66651610862893,0.8
mea_2,335.7,1.0
