,mean,stddev
mass_1,6.695153507739757e+18,6.695153507739757e+17
mass_2,1.8484649226024333e+17,1.8484649226024332e+16
sma_2,11374.0,8.0
ecc_2,0.4732,0.0006
aop_2,49.33003181874622,0.1
inc_2,66.2962882178959,0.05
lan_2,52.33173905631826,0.08
mea_2,165.5,0.1
j2r2_1,1340.0,134.0
c22r2_1,134.0,13.4
j2r2_2,405.0,40.5
c22r2_2,40.5,4.05
spaop_1,49.33003181874622,0.1
spinc_1,111.2962882178959,0.05
splan_1,52.33173905631826,0.08
sprate_1,5.586212913209625e-07,5.586212913209625e-08
spaop_2,180.0,20.0
spinc_2,66.2962882178959,0.05
splan_2,52.33173905631826,0.08
sprate_2,0.0002493,2.493e-05
lat_offset,-7.98351664165753e-05,0.005
long_offset,-0.0005034196950355243,0.005
