,mean,stddev
mass_1,1.3790461780575204e+18,1.3790461780575205e+17
mass_2,6.209538219424794e+17,6.209538219424794e+16
sma_2,2500.0,30.0
ecc_2,0.03,0.01
aop_2,208.94307033481653,20.0
inc_2,71.22486510660929,2.0
lan_2,278.14703738651343,2.0
mea_2,6.0,3.0
j2r2_1,34861.25,3486.125
c22r2_1,3486.125,348.6125
j2r2_2,640.0,64.0
c22r2_2,64.0,6.4
spaop_1,208.94307033481653,20.0
spinc_1,71.22486510660929,2.0
splan_1,278.14703738651343,2.0
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,71.22486510660929,2.0
splan_2,278.14703738651343,2.0
sprate_2,2.9227931846095436e-06,2.9227931846095436e-07
lat_offset,-0.00022376270034308625,0.005
long_offset,-0.0001892910429869051,0.005
