time,x,y,ex,ey
2453746.525,-0.20637,0.30013,0.00256,0.00256
2453746.554,-0.20832,0.30582,0.00257,0.00257
2454138.287,-0.21088,0.22019,0.00252,0.00197
2454138.304,-0.21132,0.22145,0.00095,0.00204
2454138.351,-0.21515,0.23185,0.00301,0.00206
2454138.368,-0.21402,0.23314,0.00192,0.00230
2454138.418,-0.21705,0.24202,0.00103,0.00282
2454138.435,-0.21449,0.24450,0.00323,0.00254
2454138.484,-0.21818,0.25301,0.00153,0.00224
2454138.501,-0.21807,0.25639,0.00310,0.00291
2454138.551,-0.22173,0.26308,0.00146,0.00230
2454138.567,-0.21978,0.26791,0.00202,0.00226
2454469.653, 0.23786,-1.27383,0.00404,0.00824
2454593.726,-0.18297,1.08994,0.00354,0.00425
2454600.192, 0.10847,0.17074,0.00508,0.00427
2454601.990, 0.18374,-0.13041,0.00729,0.00504
2454603.788, 0.24918,-0.43962,0.00207,0.00574
2454605.788, 0.29818,-0.75412,0.00467,0.00966
2455375.661,-0.26874,1.22502,0.00159,0.00154
2455375.727,-0.26632,1.22294,0.00126,0.00164
2455375.793,-0.26374,1.22053,0.00138,0.00193
2455375.859,-0.26187,1.21840,0.00131,0.00182
2455375.928,-0.25945,1.21625,0.00150,0.00175
2455375.993,-0.25813,1.21560,0.00137,0.00189
2455376.058,-0.25598,1.21306,0.00165,0.00136
2457203.995,0.42272,-0.63347,0.00200,0.002
