,large_low_synch_low_synch_offset,large_low_synch_low_synch_,large_low_synch_low_fast_offset,large_low_synch_low_fast_,large_low_synch_high_synch_offset,large_low_synch_high_synch_,large_low_synch_high_fast_offset,large_low_synch_high_fast_,large_low_fast_low_synch_offset,large_low_fast_low_synch_,large_low_fast_low_fast_offset,large_low_fast_low_fast_,large_low_fast_high_synch_offset,large_low_fast_high_synch_,large_low_fast_high_fast_offset,large_low_fast_high_fast_,large_high_synch_low_synch_offset,large_high_synch_low_synch_,large_high_synch_low_fast_offset,large_high_synch_low_fast_,large_high_synch_high_synch_offset,large_high_synch_high_synch_,large_high_synch_high_fast_offset,large_high_synch_high_fast_,large_high_fast_low_synch_offset,large_high_fast_low_synch_,large_high_fast_low_fast_offset,large_high_fast_low_fast_,large_high_fast_high_synch_offset,large_high_fast_high_synch_,large_high_fast_high_fast_offset,large_high_fast_high_fast_,shape_low_synch_low_synch_offset,shape_low_synch_low_synch_,shape_low_synch_low_fast_offset,shape_low_synch_low_fast_,shape_low_synch_high_synch_offset,shape_low_synch_high_synch_,shape_low_synch_high_fast_offset,shape_low_synch_high_fast_,shape_low_fast_low_synch_offset,shape_low_fast_low_synch_,shape_low_fast_low_fast_offset,shape_low_fast_low_fast_,shape_low_fast_high_synch_offset,shape_low_fast_high_synch_,shape_low_fast_high_fast_offset,shape_low_fast_high_fast_,shape_high_synch_low_synch_offset,shape_high_synch_low_synch_,shape_high_synch_low_fast_offset,shape_high_synch_low_fast_,shape_high_synch_high_synch_offset,shape_high_synch_high_synch_,shape_high_synch_high_fast_offset,shape_high_synch_high_fast_,shape_high_fast_low_synch_offset,shape_high_fast_low_synch_,shape_high_fast_low_fast_offset,shape_high_fast_low_fast_,shape_high_fast_high_synch_offset,shape_high_fast_high_synch_,shape_high_fast_high_fast_offset,shape_high_fast_high_fast_
shape_low_synch_low_synch_offset,147.82324205451724,147.6571303807443,101.05747862362992,100.70729662958257,36.32365041395612,36.209911536861775,110.5455425089649,110.39520041913406,63.46763468239581,63.309490904130584,22.106732624532576,22.280300384952902,46.351606237021045,46.16980504326998,19.320584605745147,19.296193471062065,18.239502260477614,18.241832931363984,32.5421997507394,32.482685245837146,13.181736266474198,13.244770839065502,13.54079375296725,13.539261829217,7.979403187259244,7.916864161280909,7.008484171249074,7.064455490473715,12.04731831344363,12.038153911636059,19.81539043687045,19.824269387940404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_synch_,148.02503537708253,147.82324205451724,101.46579901690806,101.0574786236299,36.48977691953828,36.32365041395614,110.70393803784229,110.54554250896487,63.6503268619457,63.46763468239581,21.992415078063374,22.106732624532608,46.60769199672795,46.35160623702103,19.43680369388668,19.320584605745132,18.28221714751979,18.239502260477614,32.6411087281741,32.54219975073942,13.164269604338296,13.181736266474196,13.598634021971591,13.540793752967232,8.158227476671128,7.979403187259229,7.059111668581098,7.008484171249059,12.117969007598859,12.04731831344367,19.892682972633196,19.815390436870473,0.8542776396667001,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_fast_offset,146.95549037828502,146.79216202997605,100.33826221110834,99.99532078434896,35.48083765459928,35.3700047877609,109.62491719164252,109.47480280209162,63.92301238790533,63.766784714252644,22.90548260450817,23.082810028770712,45.65690599392184,45.476134484264435,18.609180676721838,18.593850762210415,18.552686456481666,18.55697945021523,31.806082457032254,31.776446378261664,13.987880010034345,14.059534759479739,13.824242226238722,13.818111996366788,8.38084499301188,8.344689520156656,7.781106046745787,7.830103893649039,12.899042184401363,12.87783088882341,20.650069475337872,20.656735973860194,0.963898300797679,1.574162633520124,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_fast_,147.1551715250275,146.95549037828502,100.72455043212503,100.33826221110834,35.644810877649505,35.48083765459928,109.78322933469876,109.6249171916425,64.10365364658718,63.92301238790536,22.783689591292777,22.905482604508176,45.91288362530788,45.65690599392185,18.71443841466015,18.609180676721813,18.58924079868747,18.55268645648167,31.889031818220225,31.806082457032275,13.961949855573476,13.987880010034326,13.879330468919123,13.824242226238711,8.517109093721947,8.380844993011886,7.83425741312098,7.781106046745767,12.972101044618736,12.899042184401399,20.7273815314773,20.650069475337887,1.4105960998959202,0.963898300797672,0.8542776396666979,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_synch_offset,148.89675850240693,148.72310076134744,101.79233740265204,101.42360620593314,38.39739845896289,38.27271672196847,112.9871171181102,112.84694506856647,61.017622186825925,60.85871964065207,21.935057646941992,22.10143877010963,46.465235755330205,46.31631928143024,21.15327831954967,21.109454044934026,18.12551565908312,18.076235995679987,34.288176271404296,34.18141223128339,12.294134658978772,12.307768687504618,13.480089791446122,13.419830828832282,7.130732023532847,7.1309952514448085,4.682392851256152,4.797219287475697,9.228875515638414,9.321966958117645,16.899066959456178,16.99546141472506,3.266233407324563,3.47837226683915,4.2162048303673405,4.3933777814013455,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_synch_,149.10103195343254,148.8967585024069,102.2125523338496,101.79233740265202,38.57375905027226,38.397398458962876,113.13541848319962,112.98711711811016,61.20258615153687,61.01762218682591,21.836035812079082,21.93505764694201,46.68466609079087,46.46523575533021,21.30264546250331,21.153278319549635,18.237080691351984,18.1255156590831,34.45314109738563,34.2881762714043,12.346226068202885,12.294134658978752,13.612215445610854,13.48008979144608,7.234329720723569,7.130732023532812,4.778835459234702,4.682392851256118,9.211016849692868,9.228875515638437,16.91408126666552,16.899066959456206,3.389457176456113,3.266233407324551,4.339331427688439,4.216204830367331,0.854277639666689,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_fast_offset,147.84436620886862,147.67337158365842,101.05931792226113,100.70895043159236,37.02369886727588,36.900068796911405,111.28758284986648,111.1425285407038,62.2489529295886,62.09075368477039,22.42966135944268,22.605622052475645,45.949636065425786,45.78308088818977,19.93420973450403,19.88866912857547,18.167133239972735,18.13004552200063,33.01208499793363,32.90884038070308,13.154168382972319,13.177639375417876,13.504372238712671,13.462324937949015,6.87889726280066,6.863103664035599,5.919904176711065,6.023687967523465,10.951186145238804,10.983267680366948,18.701208502463547,18.744708763545823,1.248264734103034,1.6810098264850535,2.1501056437959347,2.416084495535399,2.068594578014687,2.3012260530927393,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_fast_,148.04763832937826,147.84436620886862,101.47727797404872,101.05931792226114,37.1984877111521,37.023698867275925,111.44085398140523,111.28758284986645,62.43229616285039,62.24895292958864,22.316480128676467,22.429661359442658,46.19023939559804,45.94963606542581,20.075507302650802,19.934209734504044,18.26114995949444,18.167133239972756,33.162363387741195,33.01208499793369,13.18893164844889,13.154168382972296,13.611556565509847,13.504372238712676,7.0829675531850125,6.878897262800686,5.939474513557506,5.919904176711057,10.988911903965196,10.95118614523884,18.754130897951924,18.701208502463572,1.564164452084023,1.248264734102988,2.4286689786611615,2.1501056437959303,2.339111564810113,2.068594578014684,0.8542776396667202,0.0,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_synch_offset,149.44345649354682,149.27034872804987,101.95931722674563,101.59018427359321,38.44103799666292,38.320387149858625,113.37933940262302,113.2382794054822,60.12414228823968,59.96433608228409,21.61992251422936,21.77422172384545,46.89029210791162,46.74533501165259,21.134025477567814,21.09799342940782,17.02220614893761,16.983801097500063,34.344960224697594,34.2515690342307,11.757159492461852,11.77996147144558,12.380165099906149,12.326794289520164,7.3815467770829795,7.382091818053438,4.888323039590871,4.997545976378363,8.932503887828355,8.994788437519505,16.6305657455935,16.71154189990652,3.5836827717469957,3.782633084983772,4.5343644518997985,4.692312992917792,1.2138553685463855,1.6633030347337194,2.387847407290452,2.641040417433781,0.0,,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_synch_,149.64746520748457,149.44345649354682,102.37201040783968,101.95931722674564,38.614877281781865,38.4410379966629,113.5285779228299,113.37933940262303,60.31064364045117,60.12414228823967,21.534902047724607,21.619922514229362,47.10388405872584,46.890292107911655,21.284097439401002,21.134025477567782,17.12511418593609,17.02220614893757,34.49881392797383,34.3449602246976,11.803088647963387,11.757159492461803,12.522962046613756,12.38016509990609,7.477074125437114,7.381546777082944,4.936619370152819,4.888323039590842,9.000662913830828,8.932503887828354,16.697061947204222,16.630565745593493,3.6888872500466574,3.5836827717470134,4.637686204738182,4.534364451899818,1.5989379819501712,1.2138553685463809,2.5821064993007634,2.387847407290477,0.8542776396666851,0.0,,,,,,,,,,,,,,,,,,,,,,
