,0
name_1,Haumea
mass_1,4.006e+21
name_2,Hi'aka
mass_2,1.79e+19
sma_2,49880
ecc_2,0.0513
aop_2,154.1
inc_2,126.35600000000001
lan_2,206.766
mea_2,152.8
name_3,Namaka
mass_3,1.79e+18
sma_3,25657
ecc_3,0.249
aop_3,178.9
inc_3,113.01299999999999
lan_3,205.016
mea_3,178.5
j2r2_1,1
c22r2_1,12
spaop_1,13
spinc_1,14
splan_1,15
sprate_1,16
