,time,Lat_prim,Lon_prim,DeltaLat,DeltaLon,Delta-RA_Secondary,Delta-DEC_Secondary,Delta-RA_Secondary-err,Delta-DEC_Secondary-err,RA_prim,DEC_prim
0,2459947.0,-11.175141899596735,23.596920568402595,0.21485587508910312,-0.41984722523551454,0.3678219297398755,-0.3027378051285723,0.0,0.0,25.94795,-1.23659
1,2459957.0,-11.149423617262666,23.589685632112534,-0.4694855115228199,0.25175551915808114,-0.5189360338818005,0.053937874186260615,0.0,0.0,25.93196,-1.21523
2,2459967.0,-11.123693579986467,23.601233645240253,0.43540127190064765,0.07557532553050805,0.3489866049903867,0.23206009283143203,0.0,0.0,25.93313,-1.18714
3,2459977.0,-11.098548254347012,23.631244858747145,-0.10723424538164307,-0.3578683065150301,0.059358682960919396,-0.3667559525069919,0.0,0.0,25.95139,-1.15299
4,2459987.0,-11.074596633992012,23.67882507284348,-0.27179374452291905,0.4042316090497877,-0.4112289182330642,0.2670597534986996,0.0,0.0,25.98615,-1.11367
5,2459997.0,-11.052380767239605,23.74254902446574,0.4914572747978141,-0.19270180924237934,0.5128918891387002,0.00825635567593963,0.0,0.0,26.03631,-1.0702
6,2460007.0,-11.032372734567199,23.82050607264185,-0.381355714840375,-0.1450489515249842,-0.271492612455404,-0.27516608795679076,0.0,0.0,26.1003,-1.02371
7,2460017.0,-11.014963676362463,23.91043644775886,0.04139816055965742,0.3837934551988553,-0.12871709898263362,0.36561833640007535,0.0,0.0,26.1762,-0.97538
8,2460027.0,-11.000465052391228,24.009731213885797,0.34205340403909007,-0.3792564101871676,0.4623349092753415,-0.217868239072061,0.0,0.0,26.26174,-0.92644
9,2460037.0,-10.989102790729312,24.115609840070427,-0.49016072714363573,0.12820340765955507,-0.483759938424555,-0.06655372936279491,0.0,0.0,26.35446,-0.8781
10,2460047.0,-10.98100320249078,24.22513677041471,0.33694965063105287,0.20223952951994306,0.20725490387576428,0.31052322058968684,0.0,0.0,26.45172,-0.83153
11,2460057.0,-10.976214925273618,24.335332814589133,0.0484799702377516,-0.4072657280346448,0.21818892425926606,-0.3532113704110884,0.0,0.0,26.55081,-0.78784
12,2460067.0,-10.974691585114364,24.443269119857316,-0.38618189170123673,0.3459793363482788,-0.4867671186957523,0.17099084621179372,0.0,0.0,26.64903,-0.74803
13,2460077.0,-10.976291127753107,24.54612156262274,0.49135124318460355,-0.06358849159866509,0.4564026658044895,0.12575498621316683,0.0,0.0,26.74374,-0.71297
14,2460087.0,-10.980821417703629,24.641206763844263,-0.26693589613404956,-0.2636471484457559,-0.11872590293933172,-0.34010182551185153,0.0,0.0,26.83241,-0.68343
15,2460097.0,-10.987988120381573,24.726100414343748,-0.11386064108238013,0.41630148186300175,-0.2797752991455127,0.3368853273656214,0.0,0.0,26.91271,-0.65999
16,2460107.0,-10.997443920673746,24.79862813059265,0.43986962327892054,-0.3041369677831085,0.5155009343297934,-0.11284564209148584,0.0,0.0,26.98252,-0.64309
17,2460117.0,-11.008788352132,24.85695241099758,-0.46907893437393067,-0.00650374117441288,-0.4061232218873556,-0.18113992098278686,0.0,0.0,27.04001,-0.633
18,2460127.0,-11.021564563335007,24.899595363894505,0.2100733743441811,0.3097667174031926,0.04862040661919309,0.36074567232304844,0.0,0.0,27.08366,-0.62981
19,2460137.0,-11.03528567314348,24.92548270703787,0.20219161272154307,-0.4191317080348256,0.3582238611215871,-0.30645505655684246,0.0,0.0,27.11231,-0.63344
20,2460147.0,-11.049415308103075,24.93395140519585,-0.46866667609522433,0.25566399611136603,-0.5194647924099627,0.058005627424506656,0.0,0.0,27.12516,-0.64362
21,2460157.0,-11.063395940831336,24.924826053116497,0.44791522236325243,0.07097125462038889,0.3595591130306275,0.23190317591996745,0.0,0.0,27.12185,-0.65989
22,2460167.0,-11.07669175433289,24.898391417894263,-0.12336705569899206,-0.35733647957414405,0.04754745957598061,-0.37172240079001995,0.0,0.0,27.10245,-0.68165
23,2460177.0,-11.088751560225429,24.855407550441406,-0.2645233449347445,0.40940338686539235,-0.4081683180629625,0.2743764470920951,0.0,0.0,27.06746,-0.70812
24,2460187.0,-11.099038878837032,24.797131309448766,0.4991689531402243,-0.20019953882837171,0.5220117284352455,0.0039097292827250385,0.0,0.0,27.01784,-0.73836
25,2460197.0,-11.107081609431859,24.72527554539454,-0.39788004847371977,-0.14117073458379537,-0.285877117767086,-0.27727776854078456,0.0,0.0,26.95499,-0.77133
26,2460207.0,-11.11243799732018,24.642001247718003,0.05464873372010159,0.38742475493975803,-0.11995428312729928,0.3736105340365725,0.0,0.0,26.88073,-0.80586
27,2460217.0,-11.11476166986089,24.54985953310031,0.3416739974560369,-0.3889734745371243,0.466328896777668,-0.2269880189217588,0.0,0.0,26.79727,-0.84073
28,2460227.0,-11.113783255287483,24.45171170915088,-0.5014258150400531,0.1377419625654852,-0.497257465463008,-0.06179675304593957,0.0,0.0,26.70713,-0.87468
29,2460237.0,-11.109328521784416,24.350689332781258,0.3512449497450991,0.19938667796495224,0.2207668800792817,0.313135671952125,0.0,0.0,26.61311,-0.90644
30,2460247.0,-11.1013351786527,24.25006708055719,0.04112555568556456,-0.4133722288244712,0.2140809111551789,-0.36162413332618826,0.0,0.0,26.51818,-0.93479
31,2460257.0,-11.08986915672856,24.153135552647957,-0.38867737817893755,0.35721161262216583,-0.4935370300472641,0.18041609593808516,0.0,0.0,26.42537,-0.95862
32,2460267.0,-11.075115549329494,24.063149548575414,0.5001041251351662,-0.07321659647843148,0.4687798665599985,0.12035382219153234,0.0,0.0,26.33772,-0.97694
33,2460277.0,-11.05734622647178,23.983132461478668,-0.2750214118984571,-0.2611042907837202,-0.12829110983147984,-0.34113158526452025,0.0,0.0,26.25809,-0.98892
34,2460287.0,-11.036950784352733,23.915819544648862,-0.11019806240378316,0.4216039176974107,-0.2775776427142773,0.3433541375954974,0.0,0.0,26.18912,-0.99394
