,Primary-Centric Time,deltaLat,deltaLon,Lat1,Lat2,Lon1,Lon2,X1,Y1,Z1,X2,Y2,Z2
0,2459946.446819615,0.21486065633880003,-0.4198074627540392,-11.175199465848355,-11.175139782332705,23.59946226224766,23.59934339524268,86.10558804752856,37.617644061036685,-18.563137101130195,86.1056838091878,37.617473165747754,-18.5630392211329
1,2459956.446832319,-0.46949002859477673,0.25173164287761096,-11.149480997999959,-11.14961141189679,23.592227950072726,23.59229922068819,86.11598673303422,37.60923921690398,-18.520532038863074,86.11590131831503,37.60932946530843,-18.520745929500297
2,2459966.4468450374,0.43540272418525205,0.07556820910688744,-11.123750938599963,-11.1236299933988,23.603774812753993,23.60379620583995,86.11403811273544,37.62905471574275,-18.477905665052237,86.11405980417696,37.62910248682472,-18.477707290875102
3,2459976.4468577714,-0.10723159963177409,-0.3578344548140327,-11.098605753722799,-11.098635540278252,23.63378313219353,23.633681839287952,86.09975710239425,37.676531230569346,-18.436236374794294,86.09981492975776,37.67637517288837,-18.436285233741337
4,2459986.4468705202,-0.2717986723880017,0.4041933669354781,-11.07465443229829,-11.07472993192951,23.681358795353024,23.68147320179564,86.07350915614353,37.750233414714856,-18.396523346118578,86.07341157729145,37.75039554692643,-18.39664719559654
5,2459996.446883284,0.4914614386045457,-0.1926835665631144,-11.052439013665754,-11.052302496599475,23.745076677283105,23.745022142567773,86.03601161441233,37.84792722338349,-18.35965614351152,86.03608768004904,37.847862947986414,-18.359432189236227
6,2460006.446896063,-0.38135634350879855,-0.14503530201645137,-11.032431565305195,-11.032537497622837,23.823026321633012,23.822985275475958,85.9883136649659,37.96665228104516,-18.326409682936987,85.98830986756025,37.96657699394769,-18.32658347112961
7,2460016.446908857,0.04139492887986762,0.3837573103700203,-11.015023211507737,-11.015011712916381,23.91294817642653,23.9130567764039,85.9317201690437,38.1029322088936,-18.29742614932002,85.93165130442814,38.1030965746187,-18.297407284521157
8,2460026.4469216666,0.34205860148190936,-0.379220719300717,-11.000525392589244,-11.000430376311055,24.01223355570483,24.012126244825268,85.86780206559938,38.25277919716905,-18.273216979909122,85.86790139090121,38.25263070415838,-18.27306109038405
9,2460036.44693449,-0.49016447588812184,0.1281913323339473,-10.989164015082721,-10.98930017188158,24.11810219348874,24.118138467336557,85.7982897860246,38.4119657878164,-18.25415319749254,85.7982258751036,38.41200238097736,-18.25437658801447
10,2460046.4469473283,0.3369496073325706,0.2022206113761835,-10.981065366289057,-10.980971769175909,24.227618811789025,24.227676031870068,85.72507358907971,38.57605551020102,-18.24044225167599,85.7250622365386,38.576153349622885,-18.240288687516205
11,2460056.4469601805,0.048483983739799896,-0.4072276413219092,-10.976278058617007,-10.976264590843746,24.337804500315723,24.337689273579993,85.65012726843739,38.74056988145077,-18.232163983957673,85.6502090836233,38.7403993977598,-18.232141887630174
12,2460066.4469730468,-0.3861872354512741,0.34594701233942454,-10.97475569214544,-10.97486296637751,24.445730679568275,24.445828566193626,85.57545111720997,38.90113283070187,-18.22924216289585,85.57535358582035,38.901264907158144,-18.229418162528734
13,2460076.446985926,0.49135459404894277,-0.06358252534498182,-10.976356186302807,-10.976219698915571,24.54857348737196,24.54855549643019,85.50303332076409,39.05355223972688,-18.231443404007653,85.50308508782057,39.053543435219986,-18.231219482102883
14,2460086.4469988192,-0.2669349356082762,-0.2636226501039274,-10.980887379519736,-10.98096152811296,24.64364979118136,24.643575196904305,85.43480772331552,39.19386655437399,-18.238452019014538,85.43483729701019,39.19374548356916,-18.238573662829616
15,2460096.447011726,-0.11386523438048357,0.41626281092665957,-10.988054912228403,-10.988086541460175,24.728535502818467,24.728653290790763,85.3725812886611,39.31852574316867,-18.249784563564898,85.3724913072523,39.31869703662126,-18.249836450152543
16,2460106.447024646,0.4398750730381096,-0.3041087215509342,-10.997511445767747,-10.997389258247459,24.801056435664872,24.800970380660285,85.31801741656604,39.42436761172499,-18.264870650912787,85.31811198817898,39.42425580753749,-18.26467021785138
17,2460116.4470375804,-0.4690816203499537,-0.006503178913626457,-11.008856492576701,-11.008986793026798,24.859375253508702,24.85937341320424,85.27256717797476,39.50874327743563,-18.28305274053066,85.27253072054116,39.508723059012496,-18.283266468500145
18,2460126.4470505286,0.21007163946293872,0.3097380557191871,-11.021633182976132,-11.021574829742947,24.90201419707533,24.902101852217125,85.2374454711097,39.569547040237005,-18.303580908285667,85.23740184294566,39.56968529176588,-18.303485199570567
19,2460136.4470634907,0.2021968421558995,-0.4190929016899047,-11.035354621226926,-11.035298455437438,24.927899080025746,24.92778047218371,85.21358504184147,39.605274164009685,-18.325656148743498,85.21368331907568,39.60510533497478,-18.32556403424827
20,2460146.4470764673,-0.4686719151266061,0.2556402973654958,-11.049484423114885,-11.049614609757976,24.9363669263072,24.936439278769257,85.20163057758934,39.61503127471354,-18.34839850011536,85.20154274751823,39.615121288798264,-18.348611996884113
21,2460156.4470894584,0.4479171847826535,0.07096472462964194,-11.06346505541857,-11.063340633978353,24.927242346357417,24.92726243206932,85.2018738573507,39.59864352678405,-18.370893558439757,85.20189615259777,39.598690209047234,-18.370689530624414
22,2460166.4471024643,-0.12336433557891269,-0.35730339834011315,-11.076760700356958,-11.076794968227953,24.90081008208777,24.900708947066157,85.21425933756409,39.55660664329475,-18.392262783205314,85.21431918274284,39.55645159661191,-18.392318972195557
23,2460176.447115485,-0.2645288352653097,0.40936541800200954,-11.088820173802246,-11.088893654034264,24.857830116823976,24.85794599282048,85.23838660897664,39.49011452808459,-18.411602676522232,85.23828531848189,39.49027698966154,-18.41172315416483
