number,designation, epoch, delta_AU, RA_hours, DEC_deg, dRA, dRA_err, dDEC, dDEC_err
88611,"2001 QT297",2452473.78974,44.08510,21.843942,-12.08656,-0.34440,0.06840,0.69990,0.05500
88611,"2001 QT297",2452493.69012,43.97038,21.821711,-12.19714,-0.42910,0.13380,0.81380,0.13110
88611,"2001 QT297",2452525.74014,44.02352,21.783528,-12.39172,-0.65760,0.09050,0.65760,0.09050
88611,"2001 QT297",2452935.57320,44.53710,21.823300,-12.13644,-0.01200,0.00600,-0.52700,0.00500
88611,"2001 QT297",2453150.86621,44.87885,22.022022,-11.05606,0.43500,0.00700,0.45600,0.00700
88611,"2001 QT297",2453261.63555,44.07467,21.929422,-11.51831,-0.13300,0.00700,0.69900,0.00600
88611,"2001 QT297",2453562.74493,44.23305,22.076506,-10.68347,-1.00200,0.00800,-0.04400,0.00800
88611,"2001 QT297",2455177.71696,45.36822,22.273008,-9.39186,-1.02568,0.00770,0.10975,0.00530
88611,"2001 QT297",2455411.92476,44.16142,22.427306,-8.43683,-0.00323,0.00300,-0.50148,0.00300
88611,"2001 QT297",2455483.83037,44.40382,22.350425,-8.87872,0.46565,0.00376,-0.33453,0.01728
88611,"2001 QT297",2455516.28459,44.90193,22.337714,-8.96283,0.60016,0.00750,-0.20134,0.01010
90482,"2004 DW",2453687.65517,47.80992,9.602703,-4.36033,0.20792,0.00492,-0.14342,0.00992
90482,"2004 DW",2454040.36963,48.07421,9.654489,-4.73411,0.22597,0.00102,-0.11307,0.00071
90482,"2004 DW",2454042.56683,48.04100,9.655431,-4.75425,-0.09310,0.00050,-0.22635,0.00050
90482,"2004 DW",2454044.36589,48.01205,9.656131,-4.77047,-0.25893,0.00050,-0.00560,0.00079
90482,"2004 DW",2454051.57904,47.89683,9.658200,-4.83264,-0.00694,0.00185,-0.24344,0.00050
90482,"2004 DW",2454056.08863,47.82344,9.658897,-4.86897,-0.03718,0.00058,0.24113,0.00050
90482,"2004 DW",2454066.14628,47.65866,9.658772,-4.94169,0.05228,0.00085,0.24033,0.00050
90482,"2004 DW",2454080.33596,47.43215,9.654717,-5.02164,-0.03180,0.00050,-0.24410,0.00050
90482,"2004 DW",2454416.29300,47.96773,9.713658,-5.30853,-0.26300,0.00500,-0.02400,0.00500
90482,"2004 DW",2454439.78023,47.58532,9.712944,-5.47636,0.24288,0.00241,0.07814,0.00418
90482,"2004 DW",2455250.73686,46.95438,9.752472,-6.39611,0.26000,0.02500,0.05200,0.02500
90482,"2004 DW",2457117.88000,47.30708,9.996253,-8.48206,-0.07854,0.00100,0.22974,0.00100
119067,"2001 KP76",2454229.08797,42.11987,16.500667,-25.15595,0.28919,0.00056,0.03508,0.00321
119979,"2002 WC19",2454045.47501,42.35091,4.759514,16.45306,-0.08206,0.00098,-0.06622,0.00106
119979,"2002 WC19",2454319.30620,43.52634,4.860486,16.93756,0.07217,0.01519,0.03954,0.00552
119979,"2002 WC19",2454338.35563,43.21349,4.875467,16.93264,-0.11345,0.00208,-0.05654,0.00381
119979,"2002 WC19",2455105.39318,42.14257,5.058739,17.50244,-0.01157,0.00749,-0.05710,0.01716
119979,"2002 WC19",2455177.84696,41.48931,4.981867,17.34856,-0.08950,0.00053,-0.02203,0.00229
119979,"2002 WC19",2456577.52237,41.09585,5.433189,18.66541,0.10583,0.00472,0.01561,0.00430
119979,"2002 WC19",2456661.09558,40.59104,5.332775,18.56873,0.08201,0.00593,0.03203,0.01156
120347,"2004 SB60",2453938.41493,43.15938,22.652317,15.83425,0.04706,0.00070,-0.10224,0.00050
120347,"2004 SB60",2454295.37924,43.37280,22.730792,16.46775,0.02193,0.00391,-0.11084,0.01344
120347,"2004 SB60",2454297.32976,43.34782,22.729267,16.47441,0.12371,0.00448,0.09208,0.00206
120347,"2004 SB60",2454323.96413,43.07438,22.702514,16.48798,0.17781,0.00200,0.00363,0.00303
120347,"2004 SB60",2454324.77860,43.06834,22.701558,16.48613,0.12785,0.00391,0.09402,0.00188
120347,"2004 SB60",2454324.90898,43.06739,22.701406,16.48583,0.10084,0.00863,0.09889,0.00316
120347,"2004 SB60",2454346.90493,42.96765,22.674139,16.38824,0.10314,0.00358,0.09949,0.00347
120347,"2004 SB60",2454606.27369,44.28520,22.810119,16.65106,-0.10096,0.00200,0.07422,0.00200
120347,"2004 SB60",2455176.77133,44.08289,22.755958,16.79067,0.05801,0.00613,0.10558,0.00300
120347,"2004 SB60",2455411.90558,43.45741,22.928128,18.43081,0.18274,0.00300,0.01839,0.00300
120347,"2004 SB60",2456492.02668,43.94279,23.160222,20.24978,-0.19689,0.10000,-0.07799,0.10000
120347,"2004 SB60",2456529.01220,40.86095,22.996767,-5.69939,-0.06779,0.10000,0.11576,0.10000
120347,"2004 SB60",2457234.99390,43.98163,23.296192,21.47219,0.05868,0.00312,-0.08215,0.00654
120347,"2004 SB60",2457606.96819,43.99952,23.363450,22.06081,-0.18064,0.00300,-0.05189,0.00300
123509,"2000 WK183",2453698.88068,41.99696,4.650178,20.28824,0.05409,0.00221,-0.05777,0.00050
123509,"2000 WK183",2454321.19764,43.39371,4.875406,20.72318,0.07394,0.00134,-0.00546,0.00278
123509,"2000 WK183",2454326.22924,43.31665,4.880147,20.72746,0.04456,0.00096,0.06196,0.00201
123509,"2000 WK183",2454356.40483,42.81369,4.895069,20.72891,-0.04866,0.00152,-0.05624,0.00432
123509,"2000 WK183",2454390.33871,42.28341,4.882661,20.68437,0.00870,0.00294,0.07600,0.00110
123509,"2000 WK183",2454432.39591,41.93362,4.833606,20.58571,-0.06388,0.00205,-0.03866,0.00438
123509,"2000 WK183",2454701.08966,43.15553,4.979186,20.85855,-0.01211,0.00221,0.07331,0.00103
123509,"2000 WK183",2455177.80746,41.87195,5.001261,20.81528,-0.02444,0.00300,-0.06715,0.00300
123509,"2000 WK183",2455239.94708,42.47538,4.936725,20.74344,0.00959,0.00486,0.07226,0.00236
134860,"2000 OJ67",2452816.23324,41.99338,21.859550,-13.86236,-0.00044,0.01000,-0.08217,0.01000
134860,"2000 OJ67",2454297.81813,41.90565,22.181636,-12.20414,-0.06759,0.00207,-0.02806,0.00174
134860,"2000 OJ67",2454301.30354,41.87208,22.178247,-12.22386,-0.05968,0.00100,0.03850,0.00225
134860,"2000 OJ67",2454318.75424,41.75024,22.158964,-12.33411,-0.05644,0.00104,-0.04947,0.00117
134860,"2000 OJ67",2454319.83277,41.74539,22.157675,-12.34139,-0.06751,0.00331,-0.02882,0.00371
134860,"2000 OJ67",2454591.42161,43.02599,22.277544,-11.65622,0.00067,0.00126,0.07131,0.00337
136199,"2003 UB313",2453624.02000,96.08486,1.643656,-5.46794,-0.52000,0.00800,0.08000,0.00800
136199,"2003 UB313",2453707.94000,96.29267,1.596361,-5.66908,0.20600,0.00600,-0.33800,0.00600
136199,"2003 UB313",2453968.12000,96.27433,1.660350,-5.13369,-0.14800,0.01000,0.34800,0.01000
136199,"2003 UB313",2453969.09000,96.26150,1.660050,-5.13703,-0.36000,0.04000,0.26000,0.04000
136199,"2003 UB313",2453978.08000,96.15075,1.656867,-5.16911,0.48800,0.02000,-0.20000,0.02000
136199,"2003 UB313",2453978.37000,96.14744,1.656753,-5.17017,0.50400,0.00100,-0.16700,0.00100
136199,"2003 UB313",2453979.00000,96.14030,1.656503,-5.17247,0.52000,0.01000,-0.07200,0.01000
136199,"2003 UB313",2454325.58508,96.33378,1.670747,-4.85113,0.48467,0.00415,-0.17810,0.00268
136199,"2003 UB313",2457051.66771,96.63116,1.663156,-3.23498,-0.35003,0.00226,-0.22603,0.00226
136199,"2003 UB313",2457051.73753,96.63229,1.663167,-3.23472,-0.34139,0.00226,-0.22913,0.00226
136199,"2003 UB313",2457054.91785,96.68314,1.663703,-3.22234,0.28734,0.00226,-0.32808,0.00226
136199,"2003 UB313",2457054.98859,96.68427,1.663717,-3.22206,0.29764,0.00226,-0.32368,0.00226
148780,"2001 UQ18",2453953.76666,45.62654,3.767747,24.30854,-0.17182,0.00109,0.06302,0.00408
148780,"2001 UQ18",2454306.58045,45.88604,3.839200,24.56067,-0.16332,0.00167,-0.03667,0.00168
148780,"2001 UQ18",2454320.43097,45.67245,3.849847,24.61564,-0.27679,0.00204,-0.00742,0.00100
148780,"2001 UQ18",2454380.39591,44.73594,3.840450,24.69205,-0.05278,0.00100,0.04552,0.00190
148780,"2001 UQ18",2454416.88464,44.44869,3.798011,24.60034,0.14054,0.00138,-0.06317,0.00118
148780,"2001 UQ18",2454672.79869,45.94237,3.921139,24.85621,0.15723,0.00133,-0.00858,0.00143
148780,"2001 UQ18",2455176.89199,44.59040,3.925447,25.08867,-0.36534,0.00300,0.03793,0.00300
148780,"2001 UQ18",2455412.10929,45.95200,4.091917,25.44278,-0.03594,0.00600,-0.03938,0.00300
