,time,Lat_Prim,Long_Prim,DeltaLat_Paha,DeltaLong_Paha,DeltaLat_Paha_err,DeltaLong_Paha_err,DeltaLat_Hiisi,DeltaLong_Hiisi,DeltaLat_Hiisi_err,DeltaLong_Hiisi_err
0,2452252.405,-8.365343294,0.96851863,0.34772538,-0.077179118,0.1195622,0.09631943,0.051975981,0.0134757,0.13645845,0.17366901
1,2452252.806,-8.365383737,0.971006376,0.314880346,-0.106659482,0.20592114,0.13654443,-0.001703309,-0.032021329,0.20528102,0.13659389
2,2452820.571,-8.404428963,4.505800733,0.053714317,-0.178511313,0.00988721,0.0092881,0.002370468,0.014021356,0.00976067,0.00841798
3,2452830.309,-8.404820589,4.566769573,-0.196403046,-0.095630904,0.00743274,0.00423729,0.023088706,0.007669916,0.0077976,0.00723123
4,2452846.247,-8.40545103,4.666591787,0.04126972,0.089628297,0.01649316,0.01457158,-0.006576547,-0.01333023,0.01635212,0.01377137
5,2452875.057,-8.406523844,4.847089611,-0.100308066,-0.182045143,0.02021533,0.01610004,-0.02986421,-0.007986689,0.02157598,0.02428468
6,2453152.263,-8.412662444,6.588799918,0.280064874,0.14818933,0.01122852,0.00665063,-0.002689962,0.029207893,0.01312833,0.01746245
7,2453595.477,-8.406469456,9.390923185,-0.266456267,0.038248529,0.0285939,0.03068644,0.028928839,0.013350306,0.02827976,0.02797197
8,2453923.04,-8.389000531,11.4744419,0.349470985,0.068112858,0.00820317,0.01765165,0.016957936,-0.013440001,0.00561242,0.01035966
