,time,Lat_Prim,Long_Prim,DeltaLat_Paha,DeltaLong_Paha,DeltaLat_Paha_err,DeltaLong_Paha_err,DeltaLat_Hiisi,DeltaLong_Hiisi,DeltaLat_Hiisi_err,DeltaLong_Hiisi_err
0,2452252.405,-8.365343294,0.96851863,0.34772538,-0.077179118,0.01195622,0.009631943,0.051975981,0.0134757,0.013645845,0.017366901
1,2452252.806,-8.365383737,0.971006376,0.314880346,-0.106659482,0.020592114,0.013654443,-0.001703309,-0.032021329,0.020528102,0.013659389
2,2452820.571,-8.404428963,4.505800733,0.053714317,-0.178511313,0.000988721,0.00092881,0.002370468,0.014021356,0.000976067,0.000841798
3,2452830.309,-8.404820589,4.566769573,-0.196403046,-0.095630904,0.000743274,0.000423729,0.023088706,0.007669916,0.00077976,0.000723123
4,2452846.247,-8.40545103,4.666591787,0.04126972,0.089628297,0.001649316,0.001457158,-0.006576547,-0.01333023,0.001635212,0.001377137
5,2452875.057,-8.406523844,4.847089611,-0.100308066,-0.182045143,0.002021533,0.001610004,-0.02986421,-0.007986689,0.002157598,0.002428468
6,2453152.263,-8.412662444,6.588799918,0.280064874,0.14818933,0.001122852,0.000665063,-0.002689962,0.029207893,0.001312833,0.001746245
7,2453595.477,-8.406469456,9.390923185,-0.266456267,0.038248529,0.00285939,0.003068644,0.028928839,0.013350306,0.002827976,0.002797197
8,2453923.04,-8.389000531,11.4744419,0.349470985,0.068112858,0.000820317,0.001765165,0.016957936,-0.013440001,0.000561242,0.001035966
