<<<<<<< HEAD
﻿,mean,stddev
mass_1,6.7341662E+18,6.0000000E+18
mass_2,5.2730776E+18,5.0000000E+18
mass_3,7.4673444E+17,7.0000000E+17
sma_2,8.6716998E+02,8.0000000E+02
=======
,mean,stddev
mass_1,6.7341662E+18,6.0000000E+16
mass_2,5.2730776E+18,6.0000000E+16
mass_3,7.4673444E+17,6.0000000E+16
sma_2,8.6716998E+02,1.1000000E+01
>>>>>>> e3037d41a535e1a9dddff0e03f5869d3abb437d7
ecc_2,1.0149345E-01,6.0000000E-03
aop_2,7.7665172E+01,6.3000000E+00
inc_2,8.8977168E+01,6.0000000E-01
lan_2,3.3005536E+02,1.0000000E+00
mea_2,1.8448571E+02,1.6000000E+00
sma_3,7.4116737E+03,1.2000000E+01
ecc_3,2.9492042E-01,9.0000000E-04
aop_3,3.2680763E+02,2.0000000E-01
inc_3,7.9337392E+01,2.0000000E-01
lan_3,3.2521011E+02,1.0000000E-01
mea_3,2.8114608E+02,3.0000000E-01
