,large_low_synch_low_synch_offset,large_low_synch_low_synch_,large_low_synch_low_fast_offset,large_low_synch_low_fast_,large_low_synch_high_synch_offset,large_low_synch_high_synch_,large_low_synch_high_fast_offset,large_low_synch_high_fast_,large_low_fast_low_synch_offset,large_low_fast_low_synch_,large_low_fast_low_fast_offset,large_low_fast_low_fast_,large_low_fast_high_synch_offset,large_low_fast_high_synch_,large_low_fast_high_fast_offset,large_low_fast_high_fast_,large_high_synch_low_synch_offset,large_high_synch_low_synch_,large_high_synch_low_fast_offset,large_high_synch_low_fast_,large_high_synch_high_synch_offset,large_high_synch_high_synch_,large_high_synch_high_fast_offset,large_high_synch_high_fast_,large_high_fast_low_synch_offset,large_high_fast_low_synch_,large_high_fast_low_fast_offset,large_high_fast_low_fast_,large_high_fast_high_synch_offset,large_high_fast_high_synch_,large_high_fast_high_fast_offset,large_high_fast_high_fast_,shape_low_synch_low_synch_offset,shape_low_synch_low_synch_,shape_low_synch_low_fast_offset,shape_low_synch_low_fast_,shape_low_synch_high_synch_offset,shape_low_synch_high_synch_,shape_low_synch_high_fast_offset,shape_low_synch_high_fast_,shape_low_fast_low_synch_offset,shape_low_fast_low_synch_,shape_low_fast_low_fast_offset,shape_low_fast_low_fast_,shape_low_fast_high_synch_offset,shape_low_fast_high_synch_,shape_low_fast_high_fast_offset,shape_low_fast_high_fast_,shape_high_synch_low_synch_offset,shape_high_synch_low_synch_,shape_high_synch_low_fast_offset,shape_high_synch_low_fast_,shape_high_synch_high_synch_offset,shape_high_synch_high_synch_,shape_high_synch_high_fast_offset,shape_high_synch_high_fast_,shape_high_fast_low_synch_offset,shape_high_fast_low_synch_,shape_high_fast_low_fast_offset,shape_high_fast_low_fast_,shape_high_fast_high_synch_offset,shape_high_fast_high_synch_,shape_high_fast_high_fast_offset,shape_high_fast_high_fast_
shape_low_synch_low_synch_,181.62565317016774,181.01767370039482,259.6891879619812,260.1513126490264,108.80213885076093,109.01521420087299,180.8729786617689,181.42176662023772,153.30348608742986,152.22368906535215,217.6027834978317,217.09043805201205,97.5234809533453,97.04376318732515,139.11480489172,138.22982912532365,236.41341418332263,235.93473317868788,186.5862280628751,186.14000558161288,147.1840651907421,147.0416508988294,228.69519469474085,228.27449393429725,109.92024808586044,109.26815767393474,120.79359090935597,120.53845853829318,61.44718079745248,60.798971441952474,135.02829265370522,134.5853490085953,1.4625933971070963,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_fast_offset,183.39665350879764,182.8891556810658,262.5627052209301,263.025802931593,111.39125827991339,111.62072795440886,181.31408426738153,181.8725961225776,154.72131939430471,153.6811341206132,216.09903975370773,215.5979175230898,96.61393347037834,96.15641017024011,141.1959378728869,140.4304079491046,235.2147379248716,234.80182076651877,188.1313601617961,187.70337167780258,145.5211610256088,145.42396354580288,230.6799480003171,230.26863543972416,111.02826945750245,110.40336090911606,122.97838852336139,122.8380837352305,59.48746233748887,58.854201432540485,135.6000831413262,135.18393055602223,3.4956136918967102,3.6276357203269063,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_low_fast_,184.02992603591176,183.3966535087976,262.1217202125046,262.5627052209301,111.2052366513393,111.39125827991333,180.77619749768903,181.31408426738153,155.79420326260362,154.7213193943047,216.61230189232225,216.09903975370761,97.09032266278642,96.61393347037823,142.0558948455025,141.1959378728868,235.69788472140993,235.21473792487154,188.57525769719416,188.13136016179607,145.66002213989884,145.5211610256087,231.1024107589971,230.67994800031693,111.67416758361409,111.02826945750257,123.2564546859818,122.97838852336122,60.14011748767953,59.48746233748873,136.04259832786084,135.60008314132605,4.43960164820404,3.4956136918965792,1.4625933971070562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_synch_offset,199.2808402722331,198.7114797346103,279.4291955833257,279.89977262281894,120.9893221617793,121.24344562314998,183.45538545078975,184.015277696359,166.25187780343907,165.21391009893145,209.42214689964752,208.88919556085926,96.40098250478619,95.91802689161854,155.91640487463428,155.1215674226766,229.98306879601304,229.54864352523055,198.65942435792917,198.22641228434318,135.508615609916,135.40079710064575,243.05052691583668,242.62314867530517,120.09295970691943,119.46986634379277,138.85525230965266,138.7300729355964,55.34066247434968,54.72676952056782,136.58705170614533,136.1562835213128,23.23966312854545,23.72518538389442,20.802645917309896,21.28052069189352,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_synch_,199.98459998799981,199.28084027223306,278.9755082431341,279.4291955833257,120.77674738067059,120.9893221617793,182.91484011753917,183.45538545078975,167.32040868755334,166.25187780343904,209.96740121666767,209.42214689964746,96.90285720485531,96.40098250478616,156.78833691184508,155.91640487463428,230.4837134399773,229.98306879601304,199.1076565319139,198.65942435792923,135.66109501844443,135.50861560991603,243.48900590406413,243.05052691583657,120.73721749498728,120.09295970691961,139.14327845659056,138.85525230965257,55.97325606281374,55.34066247434961,137.04428367643516,136.58705170614527,24.14750861513776,23.239663128545438,21.19570422069089,20.802645917309754,1.4625933971070715,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_fast_offset,183.4857275095847,182.95969274094026,261.6898901254497,262.15878471296537,111.43138392291067,111.66109421777976,183.1641181612289,183.72294282878178,154.29591174925898,153.23911129347675,219.680771966992,219.17668667277854,99.23412230825069,98.76648853907594,140.924369328804,140.07904305345573,238.32089076026136,237.90178314837905,184.58358357332963,184.14962972460106,145.81051293454072,145.69690798292055,230.71943200951785,230.30682051071844,112.27434114365396,111.63728716373718,122.90226962577648,122.71500781204318,62.8877874950329,62.25929790183917,132.88453116017746,132.4622702793451,3.2827978393977886,3.192091728468465,4.985528222570025,5.457322988281202,21.628128080074273,21.669508700776923,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_synch_high_fast_,184.11735017796536,183.48572750958473,261.2414983370634,261.6898901254497,111.24614902772511,111.43138392291067,182.62604075985013,183.1641181612289,155.3791606033333,154.29591174925898,220.19724359826435,219.68077196699193,99.72039383693802,99.23412230825066,141.82604854600902,140.924369328804,238.81949807715935,238.3208907602613,185.03341504907,184.58358357332963,145.9643639847166,145.81051293454072,231.1434370594273,230.7194320095178,112.93145579204398,112.27434114365417,123.22082969068873,122.9022696257764,63.53619953927751,62.8877874950328,133.33133717882413,132.8845311601774,4.419852942459694,3.282797839397801,5.736961657225809,4.985528222569922,22.21935442034163,21.628128080074276,1.4625933971070912,0.0,,,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_synch_offset,173.0789425053278,172.57628287401724,254.92693882862577,255.41235726900396,108.7062716410821,108.97050613800985,186.84906410220546,187.41662578992143,147.24249844306368,146.26665544493994,227.18502726088428,226.68406759660934,102.7098713275816,102.25429986409304,133.21194978257668,132.5201983952206,243.82420325836483,243.3980250686795,175.70971032060177,175.25235438180462,149.0253605356703,148.94006913188812,225.33841076966013,224.93336940476019,114.15085593109404,113.56548966903806,113.02596563189972,113.05642928839708,71.87659342669221,71.26721220915836,127.22884765984037,126.8160773985598,13.071931805183848,13.643918305228492,15.05225224146771,15.670125493718142,31.589702459870693,32.50584155688044,12.290772639284853,13.058186818116653,0.0,,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_synch_,173.7550511576045,173.07894250532777,254.45853670120184,254.9269388286258,108.48119321542572,108.70627164108213,186.30046006533846,186.8490641022055,148.2670968806524,147.24249844306368,227.69773747272305,227.18502726088423,103.18562596186159,102.7098713275816,134.02279451078607,133.2119497825767,244.30953450422095,243.82420325836486,176.1847063902039,175.70971032060186,149.15555799470792,149.02536053567027,225.75434558879994,225.33841076966007,114.75871475048417,114.15085593109423,113.17444210451623,113.02596563189962,72.50491365033967,71.87659342669215,127.66864726679125,127.22884765984026,13.014836931401224,13.07193180518384,14.937422807906842,15.0522522414676,31.450343811284434,31.589702459870686,11.770411386946089,12.290772639284848,1.4625933971070617,0.0,,,,,,,,,,,,,,,,,,,,,,
shape_low_fast_low_fast_offset,183.64645279460493,183.13288809216795,263.3784958928236,263.85499407681147,111.18568124125392,111.45459703506906,182.6356779613991,183.2027366124664,153.62821393011282,152.57004657225616,215.82349439269186,215.32119150909529,96.8703009494475,96.42066102908085,140.70517287771847,139.8803209815613,235.12082057379413,234.71234218727912,186.9401624262291,186.51186138817835,145.43521885494704,145.32449929036088,230.06914793650716,229.65733731147995,110.66933639611725,110.04213808941707,123.60005121949771,123.59277455412649,59.04332445213497,58.40687644253131,134.24367065460743,133.82606154374514,3.9574613913442835,4.772157844929312,3.0254422696722876,3.7912848353879465,20.536791779672907,21.425177832668147,4.62609291501989,5.844472961434528,14.235828269457107,15.072062727045793,0.0,,,,,,,,,,,,,,,,,,,,,
