,mean,stddev
mass_1,4.58e+17,6999999999999999.0
mass_2,0.0,0.0
sma_2,8220.0,40.0
ecc_2,0.546,0.008
aop_2,201.07222214493945,0.7
inc_2,72.89351403769852,0.5
lan_2,16.78991653400911,0.3
mea_2,35.69999999999999,0.7
j2r2_1,410.0,41.0
c22r2_1,41.0,4.1000000000000005
j2r2_2,335.0,33.5
c22r2_2,33.5,3.35
spaop_1,201.07222214493945,0.7
spinc_1,117.89351403769852,0.5
splan_1,16.78991653400911,0.3
sprate_1,2.345946554947659e-07,2.345946554947659e-08
spaop_2,180.0,20.0
spinc_2,72.89351403769852,0.5
splan_2,16.78991653400911,0.3
sprate_2,2.345946554947659e-07,2.345946554947659e-08
