,Times,X_Pos_Eris,Y_Pos_Eris,Z_Pos_Eris,X_Vel_Eris,Y_Vel_Eris,Z_Vel_Eris,semimajor_axis_Eris,eccentricity_Eris,inclination_Eris,longitude_ascending_Eris,argument_periapse_Eris,mean_anomaly_Eris,precession_Eris,obliquity_Eris,longitude_Eris,spin_orbit_angle_Eris,spin_period_Eris,Lx_Eris,Ly_Eris,Lz_Eris,E_Eris,X_Pos_Hercules,Y_Pos_Hercules,Z_Pos_Hercules,X_Vel_Hercules,Y_Vel_Hercules,Z_Vel_Hercules,semimajor_axis_Hercules,eccentricity_Hercules,inclination_Hercules,longitude_ascending_Hercules,argument_periapse_Hercules,mean_anomaly_Hercules,precession_Hercules,obliquity_Hercules,longitude_Hercules,spin_orbit_angle_Hercules,spin_period_Hercules,Lx_Hercules,Ly_Hercules,Lz_Hercules,E_Hercules,X_Pos_Dysnomia,Y_Pos_Dysnomia,Z_Pos_Dysnomia,X_Vel_Dysnomia,Y_Vel_Dysnomia,Z_Vel_Dysnomia,semimajor_axis_Dysnomia,eccentricity_Dysnomia,inclination_Dysnomia,longitude_ascending_Dysnomia,argument_periapse_Dysnomia,mean_anomaly_Dysnomia,precession_Dysnomia,obliquity_Dysnomia,longitude_Dysnomia,spin_orbit_angle_Dysnomia,spin_period_Dysnomia,Lx_Dysnomia,Ly_Dysnomia,Lz_Dysnomia,E_Dysnomia,Lx_totDysnomia,Ly_totDysnomia,Lz_totDysnomia
0,356089642.4799353,0.0,0.0,0.0,0.0,0.0,0.0,309.1990286389098,0.9998876833786005,62.50138583794168,138.76167894319067,327.32484935405733,179.9653061929319,0.0,0.0,0.0,0.0,inf,6439.39807095522,7380.0113497557995,5093.089420899527,-4.2262477076919875,-5956.988779413667,9435.625285132985,-6087.07598105243,-0.19335642974792774,0.022633292434406368,0.21216476970615228,10427.678219123007,0.16090603073731288,62.50138583794168,138.76167894319067,153.37789549981554,171.74030277571197,0.0,0.0,0.0,0.0,inf,100114.08400341502,114172.37779619212,79050.39523991087,-2.263406575293404,-29539.284262835856,22945.36304620588,3486.2071476540473,-0.04716096961469338,-0.0729920773426419,0.15977179716755868,37258.34756735964,0.004621443106773517,61.60748484917109,139.2711000638987,359.7888687788531,6.805248781886257,0.0,0.0,0.0,0.0,inf,16544.764169677637,19215.449429492954,13706.041101803587,-0.06666237002114546,123098.24624404787,140767.83857544087,97849.52576261398
1,356100441.57167226,0.0,0.0,0.0,0.0,0.0,0.0,310.52355300568905,0.9998881408160045,62.501295266419405,138.76172704352643,341.2762511033629,179.9747312949023,0.0,0.0,0.0,0.0,inf,6612.0934150847015,7580.537223722454,5236.299970671905,-4.2077738879020545,-7844.027181654434,9392.323074005422,-3634.8340691413696,-0.1544404563245827,-0.03049794389153492,0.23963573833277083,10440.10235490858,0.16389466090566232,62.501295266419405,138.76172704352643,165.59172731138483,174.0759685097934,0.0,0.0,0.0,0.0,inf,99951.47167853046,113983.55899957978,78915.55020704192,-2.263837878307447,-30002.146099009464,22115.737916388563,5213.572191904215,-0.03845628301654798,-0.08062187268965736,0.15995912542143315,37212.56268386932,0.003354356985524569,61.6075093169401,139.2711053171288,4.3279268375360616,5.147063393474628,0.0,0.0,0.0,0.0,inf,16534.681143329006,19203.74234403495,13697.675579290717,-0.06706307650460927,123098.24623694416,140767.83856733717,97849.52575700454
2,356111240.65660983,0.0,0.0,0.0,0.0,0.0,0.0,311.401147439248,0.9998884361601694,62.5011565492734,138.76175872020204,355.12990353263785,179.98545728086884,0.0,0.0,0.0,0.0,inf,6731.318263546748,7718.3020119077855,5337.434119205046,-4.195574131231615,-9260.876125252567,8785.543163321148,-964.0326951268979,-0.10671589811873837,-0.08124317010844723,0.2525045194491326,10448.677004067667,0.16579040328017877,62.5011565492734,138.76175872020204,177.580344705836,176.62328495455807,0.0,0.0,0.0,0.0,inf,99841.51223230797,113856.49867011796,78822.28044368561,-2.264148585966824,-30367.854906653363,21205.055928183963,6937.127288677381,-0.029192812586977996,-0.08798006905299424,0.1590630172750433,37170.505966527526,0.0022560280829448773,61.60788031257934,139.27118883772417,23.417692797725508,348.9919929149252,0.0,0.0,0.0,0.0,inf,16525.415733855098,19193.037877058578,13689.811188401214,-0.06743126367193766,123098.24622970982,140767.8385590843,97849.52575129188
3,356122039.7414267,0.0,0.0,0.0,0.0,0.0,0.0,311.7899259596165,0.9998885626395451,62.50097718812229,138.76175080632498,8.92812740444009,179.99688173999633,0.0,0.0,0.0,0.0,inf,6794.221495572133,7789.724172991117,5393.778836005907,-4.190109583069747,-10127.121417377064,7656.140410891439,1764.4708097564915,-0.05294937846625202,-0.12685324325180264,0.25030335903908274,10452.72463319774,0.1665916344175322,62.50097718812229,138.76175080632498,189.45057705232125,179.27889074633117,0.0,0.0,0.0,0.0,inf,99784.46758467017,113791.72599889436,78771.1889823633,-2.264359635522598,-30631.226267949616,20217.016404712016,8645.139189209543,-0.01953264451682694,-0.09492526746363528,0.15708381744364208,37143.92213113124,0.002203795964309064,61.608691829441426,139.27141744002324,60.65644922678554,314.73276724788985,0.0,0.0,0.0,0.0,inf,16519.55714218241,19186.388378887958,13684.557927169775,-0.06766431931943358,123098.24622242471,140767.83855077342,97849.52574553898
4,356132838.8321981,0.0,0.0,0.0,0.0,0.0,0.0,311.67297270069497,0.9998885196292898,62.50078220746754,138.76168822339744,22.714756004545578,180.00842551356575,0.0,0.0,0.0,0.0,inf,6799.3434295723055,7792.921028965442,5403.699284393987,-4.191562820172663,-10393.42816229005,6073.087649352216,4388.559496850295,0.0038849108580490985,-0.16487914595232178,0.2332610628536508,10451.841770799649,0.1663137191368298,62.50078220746752,138.76168822339744,201.30034536957217,181.95114399306243,0.0,0.0,0.0,0.0,inf,99779.85679382805,113788.84563878905,78762.26368893967,-2.2644836461312075,-30788.968885510334,19156.828590249603,10326.076776751805,-0.009663068887018938,-0.10131911752825866,0.15405688213227914,37141.62051937743,0.00329032658821681,61.609892011267206,139.2718267008736,79.18806950569225,299.2002573042537,0.0,0.0,0.0,0.0,inf,16519.045992902804,19186.07187603545,13683.562767371135,-0.06768504797631825,123098.24621630315,140767.83854378993,97849.52574070479
5,356143637.9308954,0.0,0.0,0.0,0.0,0.0,0.0,311.05706730846026,0.9998883095738698,62.50060557978488,138.7615753226807,36.53373124926472,180.01952974997891,0.0,0.0,0.0,0.0,inf,6746.528032873671,7727.628346289674,5366.59464556788,-4.199864562970244,-10043.314553887027,4129.936471888111,6752.217172973875,0.06068979612225941,-0.19322707335371486,0.20227541265910923,10446.049323934294,0.16496727873242806,62.50060557978488,138.7615753226807,213.22385017074524,184.55350059518352,0.0,0.0,0.0,0.0,inf,99827.6644621123,113847.94483817986,78795.85593064889,-2.264515608978099,-30839.899102556737,18031.169710630056,11968.930334168543,0.00021553100251611073,-0.10702933368572158,0.15004195991592287,37164.43081568885,0.004701500590118191,61.611275718202464,139.2723835688984,80.68792170416279,300.685530221668,0.0,0.0,0.0,0.0,inf,16524.0537139786,19192.265350948604,13687.075158692545,-0.06748583578565957,123098.24620896457,140767.83853541812,97849.52573490932
6,356154437.0339781,0.0,0.0,0.0,0.0,0.0,0.0,309.97233145700017,0.9998879376851788,62.50047379763741,138.76143544475903,50.427904096040216,180.02963429728064,0.0,0.0,0.0,0.0,inf,6636.93562777991,7595.23256241069,5282.935393353953,-4.214694482598619,-9094.054387430646,1940.6731320721615,8712.658349907246,0.11432448216907214,-0.21021713191507743,0.1588973531427278,10435.809864135117,0.1625567204244422,62.50047379763741,138.76143544475903,225.31862861079298,186.99502059937961,0.0,0.0,0.0,0.0,inf,99928.44141621338,113969.68865627846,78872.79083003497,-2.264432063096992,-30784.989794763816,16848.068235477942,13563.437143872156,0.009906946059787446,-0.11194026729689374,0.1451176366967162,37204.65296355248,0.0060862123392863045,61.61258255822863,139.27299293663668,76.78782042550013,307.52913416650824,0.0,0.0,0.0,0.0,inf,16532.869158815163,19202.91730970633,13693.799506658801,-0.06713367931681836,123098.24620280846,140767.83852839548,97849.52573004772
7,356165236.13468707,0.0,0.0,0.0,0.0,0.0,0.0,308.47289909705125,0.9998874147272836,62.50039514267689,138.76129838162012,64.43766675419306,180.03817016315423,0.0,0.0,0.0,0.0,inf,6473.153557313519,7398.9122710432575,5154.381004398854,-4.23545523245388,-7596.684495067946,-365.1216005555257,10147.328999986643,0.1616933939378345,-0.214654538451448,0.10532124124055013,10421.892933254612,0.15910132857378947,62.50039514267689,138.76129838162012,237.6914669269568,189.17274875681295,0.0,0.0,0.0,0.0,inf,100082.1782160437,114153.96617346106,78993.4647823616,-2.264199846850569,-30627.247621789385,15616.652679682962,15100.295289041656,0.019232208442346348,-0.11596585152799027,0.1393843941308278,37250.58100937602,0.007285907032888382,61.61362055825115,139.2735461199918,71.797904834175,315.4089548113956,0.0,0.0,0.0,0.0,inf,16542.914422128088,19214.960075537325,13701.679937504176,-0.0667307824492845,123098.2461954853,140767.83852004164,97849.52572426462
8,356176035.22690684,0.0,0.0,0.0,0.0,0.0,0.0,306.63745720623825,0.999886760458099,62.50036129551729,138.76118725662582,78.59914733585914,180.04458431036485,0.0,0.0,0.0,0.0,inf,6259.3966897035325,7143.877938412669,4983.972388973797,-4.261235246154069,-5634.9354833179395,-2647.9737677260828,10960.787164746042,0.19985879937251289,-0.20591804145892126,0.04436992704703958,10405.219999236531,0.15466409157193328,62.50036129551729,138.76118725662582,250.46115448649198,190.96886843197183,0.0,0.0,0.0,0.0,inf,100286.92902047731,114398.25375579094,79156.69696930345,-2.2637867023070495,-30371.494322598697,14346.779432725725,16571.436677610705,0.02803446749597746,-0.11905831769934136,0.13297119766154034,37291.822131924804,0.008196584627601018,61.61431973245788,139.27396756712253,67.1225842796814,322.92403620342384,0.0,0.0,0.0,0.0,inf,16551.920478017553,19225.706817525774,13708.856360232974,-0.06636827886510961,123098.24618819839,140767.83851172938,97849.52571851021
9,356186834.30886716,0.0,0.0,0.0,0.0,0.0,0.0,304.56828174228554,0.9998860055535481,62.50035566325605,138.76111307526085,92.94195287579382,180.04838795298687,0.0,0.0,0.0,0.0,inf,6001.771752923869,6837.6764910443,4776.378209240346,-4.290780987490764,-3322.7609445748785,-4765.259711121331,11091.314220540497,0.2261892098029874,-0.18406335905688523,-0.02054372571298127,10386.789722949183,0.14937567483315525,62.50035566325604,138.76111307526085,263.7580936789495,192.25198498015047,0.0,0.0,0.0,0.0,inf,100537.97891009173,114696.6389700518,79358.99538453954,-2.2631676527570077,-30024.120407425322,13048.595259539932,17970.35794343023,0.03618031809020762,-0.121211924964644,0.1260388213283017,37321.94191908191,0.008768284998361069,61.61470980532622,139.27423130732882,63.13800968670985,329.7109546253638,0.0,0.0,0.0,0.0,inf,16558.495517946136,19233.523042378307,13714.152119015669,-0.06610330166108598,123098.24618096174,140767.83850347443,97849.52571279554
