,time,dist,RA-Primary,DEC-Primary,Delta-RA,Delta-RA-err,Delta-DEC,Delta-DEC-err
0,2453624.02,96.08485999999999,1.6436560000000002,-5.4679400000000005,-0.52,0.008,0.08,0.008
1,2453707.94,96.29267,1.5963610000000001,-5.66908,0.206,0.006,-0.338,0.006
2,2453968.12,96.27433,1.66035,-5.1336900000000005,-0.148,0.01,0.348,0.01
3,2453969.09,96.2615,1.66005,-5.13703,-0.36,0.04,0.26,0.04
4,2453978.08,96.15075,1.6568669999999999,-5.16911,0.488,0.02,-0.2,0.02
5,2453978.37,96.14744,1.656753,-5.17017,0.504,0.001,-0.167,0.001
6,2453979.0,96.1403,1.6565029999999998,-5.17247,0.52,0.01,-0.072,0.01
7,2454325.58508,96.33378,1.6707470000000002,-4.85113,0.48467,0.00415,-0.1781,0.00268
8,2457051.6677099997,96.63116,1.663156,-3.2349799999999997,-0.35003,0.0022600000000000003,-0.22603,0.0022600000000000003
9,2457051.73753,96.63229,1.6631669999999998,-3.2347200000000003,-0.34139,0.0022600000000000003,-0.22913000000000003,0.0022600000000000003
10,2457054.91785,96.68314000000001,1.663703,-3.22234,0.28734,0.0022600000000000003,-0.32808000000000004,0.0022600000000000003
11,2457054.98859,96.68427,1.663717,-3.22206,0.29764,0.0022600000000000003,-0.32368,0.0022600000000000003
